product_id,sku,product_name,category,unit_cost,list_price,active_flag
PROD-000087,SKU-000087,Lamp 087,Home,44.0,82.01,True
PROD-000088,SKU-000088,Keyboard 088,Electronics,101.57,144.7,True
PROD-000089,SKU-000089,Headphones 089,Electronics,38.24,64.06,True
PROD-000090,SKU-000090,Monitor 090,Electronics,63.34,115.9,True
PROD-000091,SKU-000091,Soap 091,Beauty,61.15,82.4,True
PROD-000092,SKU-000092,Monitor 092,Electronics,34.39,68.92,True
PROD-000093,SKU-000093,Shampoo 093,Beauty,84.5,178.93,True
PROD-000094,SKU-000094,Pan 094,Home,100.8,220.54,True
PROD-000095,SKU-000095,Serum 095,Beauty,122.62,256.52,True
PROD-000096,SKU-000096,Pasta 096,Grocery,134.79,261.99,True
PROD-000097,SKU-000097,Shoes 097,Sports,126.3,186.58,True
PROD-000098,SKU-000098,Cream 098,Beauty,42.64,54.47,True
PROD-000099,SKU-000099,Jersey 099,Sports,49.32,85.82,True
PROD-000100,SKU-000100,Pan 100,Home,104.7,199.6,True
PROD-000101,SKU-000101,Perfume 101,Beauty,82.31,132.99,True
PROD-000102,SKU-000102,Soap 102,Beauty,135.92,242.49,True
PROD-000103,SKU-000103,Pasta 103,Grocery,72.59,155.54,True
PROD-000104,SKU-000104,Soap 104,Beauty,81.66,157.98,True
PROD-000105,SKU-000105,Pan 105,Home,34.47,56.39,True
PROD-000106,SKU-000106,Mat 106,Sports,109.18,222.78,True
PROD-000107,SKU-000107,Oil 107,Grocery,5.99,9.55,True
PROD-000108,SKU-000108,Headphones 108,Electronics,97.13,129.74,True
PROD-000109,SKU-000109,Mouse 109,Electronics,58.11,82.03,True
PROD-000110,SKU-000110,Perfume 110,Beauty,113.3,230.22,True
PROD-000111,SKU-000111,Monitor 111,Electronics,4.87,8.47,False
PROD-000112,SKU-000112,Shoes 112,Sports,98.22,194.6,True
PROD-000113,SKU-000113,Keyboard 113,Electronics,31.51,38.45,True
PROD-000114,SKU-000114,Pan 114,Home,101.08,178.3,True
PROD-000115,SKU-000115,Jersey 115,Sports,26.83,48.49,True
PROD-000116,SKU-000116,Keyboard 116,Electronics,144.78,189.39,True
PROD-000117,SKU-000117,Bottle 117,Sports,102.25,220.67,True
PROD-000118,SKU-000118,Lamp 118,Home,89.63,182.0,True
PROD-000119,SKU-000119,Bottle 119,Sports,121.22,241.98,True
PROD-000120,SKU-000120,Mouse 120,Electronics,80.85,150.5,True
PROD-000121,SKU-000121,Ball 121,Sports,127.74,258.33,True
PROD-000122,SKU-000122,Mat 122,Sports,106.68,174.47,True
PROD-000123,SKU-000123,Bottle 123,Sports,121.61,211.38,True
PROD-000124,SKU-000124,Serum 124,Beauty,41.72,85.6,True
PROD-000125,SKU-000125,Mouse 125,Electronics,132.48,191.28,True
PROD-000126,SKU-000126,Pasta 126,Grocery,51.79,87.75,True
PROD-000127,SKU-000127,Cream 127,Beauty,54.51,79.49,True
PROD-000128,SKU-000128,Cereal 128,Grocery,84.26,144.64,True
PROD-000129,SKU-000129,Pan 129,Home,74.31,145.51,True
PROD-000130,SKU-000130,Soap 130,Beauty,119.35,154.33,True
PROD-000131,SKU-000131,Desk 131,Home,100.27,157.33,True
PROD-000132,SKU-000132,Mat 132,Sports,149.5,261.68,True
PROD-000133,SKU-000133,Perfume 133,Beauty,47.38,67.78,True
PROD-000134,SKU-000134,Ball 134,Sports,111.95,240.79,True
PROD-000135,SKU-000135,Chair 135,Home,111.31,164.35,True
PROD-000136,SKU-000136,Oil 136,Grocery,43.88,57.07,True
PROD-000137,SKU-000137,Desk 137,Home,28.56,34.68,True
PROD-000138,SKU-000138,Ball 138,Sports,146.2,256.34,True
PROD-000139,SKU-000139,Pan 139,Home,17.18,20.83,True
PROD-000140,SKU-000140,Soap 140,Beauty,52.42,113.52,True
PROD-000141,SKU-000141,Shampoo 141,Beauty,123.67,197.96,True
PROD-000142,SKU-000142,Keyboard 142,Electronics,24.08,42.45,True
PROD-000143,SKU-000143,Lamp 143,Home,84.59,136.71,True
PROD-000144,SKU-000144,Tea 144,Grocery,116.8,184.59,True
PROD-000145,SKU-000145,Bottle 145,Sports,148.52,223.58,True
PROD-000146,SKU-000146,Coffee 146,Grocery,142.24,200.24,True
PROD-000147,SKU-000147,Keyboard 147,Electronics,37.5,65.7,True
PROD-000148,SKU-000148,Soap 148,Beauty,104.03,173.72,True
PROD-000149,SKU-000149,Jersey 149,Sports,106.04,175.39,True
PROD-000150,SKU-000150,Bottle 150,Sports,99.86,213.07,True
PROD-000151,SKU-000151,Tea 151,Grocery,97.85,206.31,True
PROD-000152,SKU-000152,Headphones 152,Electronics,26.56,40.04,True
PROD-000153,SKU-000153,Cereal 153,Grocery,66.99,111.79,True
PROD-000154,SKU-000154,Perfume 154,Beauty,76.07,128.85,True
PROD-000155,SKU-000155,Monitor 155,Electronics,110.71,199.69,True
PROD-000156,SKU-000156,Vacuum 156,Home,88.89,108.51,True
PROD-000157,SKU-000157,Bottle 157,Sports,7.95,15.55,True
PROD-000158,SKU-000158,Perfume 158,Beauty,28.86,51.52,True
PROD-000159,SKU-000159,Shampoo 159,Beauty,71.56,115.09,True
PROD-000160,SKU-000160,Keyboard 160,Electronics,50.81,96.22,True
PROD-000161,SKU-000161,Serum 161,Beauty,7.43,9.57,True
PROD-000162,SKU-000162,Monitor 162,Electronics,130.01,263.26,True
PROD-000163,SKU-000163,Pasta 163,Grocery,63.16,87.64,True
PROD-000164,SKU-000164,Soap 164,Beauty,114.48,160.68,True
PROD-000165,SKU-000165,Mat 165,Sports,132.37,223.01,True
PROD-000166,SKU-000166,Tea 166,Grocery,107.05,161.73,True
PROD-000167,SKU-000167,Shampoo 167,Beauty,35.26,71.98,True
PROD-000168,SKU-000168,Keyboard 168,Electronics,75.76,145.2,True
PROD-000169,SKU-000169,Mat 169,Sports,125.54,273.71,True
PROD-000170,SKU-000170,Tea 170,Grocery,58.77,124.7,True
PROD-000171,SKU-000171,Lamp 171,Home,42.88,85.33,True
PROD-000172,SKU-000172,Cereal 172,Grocery,123.44,183.04,True
PROD-000173,SKU-000173,Oil 173,Grocery,149.84,253.18,True
PROD-000174,SKU-000174,Pasta 174,Grocery,53.08,92.99,True
PROD-000175,SKU-000175,Perfume 175,Beauty,130.7,285.03,True
PROD-000176,SKU-000176,Cream 176,Beauty,128.69,207.29,True
PROD-000177,SKU-000177,Soap 177,Beauty,59.14,110.22,True
PROD-000178,SKU-000178,Pan 178,Home,144.79,192.03,False
PROD-000179,SKU-000179,Ball 179,Sports,131.38,215.5,True
PROD-000180,SKU-000180,Shampoo 180,Beauty,108.92,175.36,True
PROD-000181,SKU-000181,Lamp 181,Home,71.48,155.05,True
PROD-000182,SKU-000182,Shampoo 182,Beauty,128.06,262.82,True
PROD-000183,SKU-000183,Perfume 183,Beauty,94.77,197.83,True
PROD-000184,SKU-000184,Coffee 184,Grocery,93.38,133.98,True
PROD-000185,SKU-000185,Shoes 185,Sports,112.52,183.85,True
PROD-000186,SKU-000186,Monitor 186,Electronics,26.62,39.92,True
PROD-000187,SKU-000187,Ball 187,Sports,45.42,71.53,True
PROD-000188,SKU-000188,Pasta 188,Grocery,85.76,170.88,True
PROD-000189,SKU-000189,Webcam 189,Electronics,130.88,238.16,True
PROD-000190,SKU-000190,Tea 190,Grocery,36.36,66.83,True
PROD-000191,SKU-000191,Monitor 191,Electronics,135.38,254.19,True
PROD-000192,SKU-000192,Perfume 192,Beauty,148.17,222.13,False
PROD-000193,SKU-000193,Mat 193,Sports,127.1,177.84,True
PROD-000194,SKU-000194,Shampoo 194,Beauty,37.11,65.76,True
PROD-000195,SKU-000195,Ball 195,Sports,146.74,272.68,True
PROD-000196,SKU-000196,Coffee 196,Grocery,136.77,266.04,True
PROD-000197,SKU-000197,Shoes 197,Sports,91.85,142.58,True
PROD-000198,SKU-000198,Cereal 198,Grocery,102.31,196.53,True
PROD-000199,SKU-000199,Lamp 199,Home,135.7,250.55,True
PROD-000200,SKU-000200,Shampoo 200,Beauty,87.78,169.62,True
PROD-000201,SKU-000201,Jersey 201,Sports,112.63,154.94,True
PROD-000202,SKU-000202,Cereal 202,Grocery,80.57,170.28,True
PROD-000203,SKU-000203,Mat 203,Sports,145.17,217.05,True
PROD-000204,SKU-000204,Monitor 204,Electronics,144.51,193.75,False
PROD-000205,SKU-000205,Serum 205,Beauty,56.13,111.74,True
PROD-000206,SKU-000206,Coffee 206,Grocery,69.31,129.81,True
PROD-000207,SKU-000207,Pasta 207,Grocery,123.72,264.8,True
PROD-000208,SKU-000208,Pan 208,Home,5.7,11.88,True
PROD-000209,SKU-000209,Tea 209,Grocery,97.85,179.59,True
PROD-000210,SKU-000210,Mat 210,Sports,19.27,24.0,True
PROD-000211,SKU-000211,Shampoo 211,Beauty,16.38,34.19,True
PROD-000212,SKU-000212,Perfume 212,Beauty,101.23,196.7,True
PROD-000213,SKU-000213,Serum 213,Beauty,111.86,151.52,True
PROD-000214,SKU-000214,Monitor 214,Electronics,93.12,199.19,True
PROD-000215,SKU-000215,Shoes 215,Sports,67.62,145.42,True
PROD-000216,SKU-000216,Mouse 216,Electronics,82.58,179.85,True
PROD-000217,SKU-000217,Perfume 217,Beauty,30.09,39.78,True
PROD-000218,SKU-000218,Shampoo 218,Beauty,100.09,184.34,True
PROD-000219,SKU-000219,Headphones 219,Electronics,118.45,170.99,True
PROD-000220,SKU-000220,Tea 220,Grocery,12.15,23.88,True
PROD-000221,SKU-000221,Chair 221,Home,50.63,68.23,True
PROD-000222,SKU-000222,Mouse 222,Electronics,129.04,173.52,True
PROD-000223,SKU-000223,Shoes 223,Sports,18.27,37.75,True
PROD-000224,SKU-000224,Shoes 224,Sports,89.15,108.39,True
PROD-000225,SKU-000225,Pan 225,Home,79.86,155.38,True
PROD-000226,SKU-000226,Bottle 226,Sports,89.86,148.45,True
PROD-000227,SKU-000227,Coffee 227,Grocery,109.63,231.18,True
PROD-000228,SKU-000228,Mat 228,Sports,97.21,119.68,False
PROD-000229,SKU-000229,Soap 229,Beauty,103.54,175.01,True
PROD-000230,SKU-000230,Headphones 230,Electronics,49.67,66.97,True
PROD-000231,SKU-000231,Oil 231,Grocery,83.16,126.83,False
PROD-000232,SKU-000232,Cereal 232,Grocery,69.15,124.85,True
PROD-000233,SKU-000233,Webcam 233,Electronics,108.68,153.78,True
PROD-000234,SKU-000234,Pan 234,Home,52.16,86.25,True
PROD-000235,SKU-000235,Mouse 235,Electronics,65.16,121.53,True
PROD-000236,SKU-000236,Pan 236,Home,11.94,24.26,True
PROD-000237,SKU-000237,Mouse 237,Electronics,122.14,214.52,True
PROD-000238,SKU-000238,Oil 238,Grocery,50.79,67.16,True
PROD-000239,SKU-000239,Shampoo 239,Beauty,145.32,261.64,True
PROD-000240,SKU-000240,Oil 240,Grocery,33.49,62.18,True
PROD-000241,SKU-000241,Mouse 241,Electronics,127.12,199.27,True
PROD-000242,SKU-000242,Tea 242,Grocery,121.47,248.42,False
PROD-000243,SKU-000243,Oil 243,Grocery,101.9,179.01,True
PROD-000244,SKU-000244,Ball 244,Sports,28.7,54.61,True
PROD-000245,SKU-000245,Jersey 245,Sports,2.9,6.0,True
PROD-000246,SKU-000246,Shampoo 246,Beauty,23.0,42.16,True
PROD-000247,SKU-000247,Tea 247,Grocery,57.68,95.38,True
PROD-000248,SKU-000248,Jersey 248,Sports,116.97,206.76,True
PROD-000249,SKU-000249,Keyboard 249,Electronics,25.3,45.99,True
PROD-000250,SKU-000250,Mat 250,Sports,99.97,168.52,True
PROD-000251,SKU-000251,Shoes 251,Sports,113.73,149.42,True
PROD-000252,SKU-000252,Bottle 252,Sports,74.02,138.21,True
PROD-000253,SKU-000253,Serum 253,Beauty,10.11,14.2,True
PROD-000254,SKU-000254,Desk 254,Home,44.84,59.19,True
PROD-000255,SKU-000255,Cream 255,Beauty,21.12,36.59,True
PROD-000256,SKU-000256,Cereal 256,Grocery,12.67,26.12,True
PROD-000257,SKU-000257,Monitor 257,Electronics,138.33,285.25,True
PROD-000258,SKU-000258,Pasta 258,Grocery,107.01,173.11,True
PROD-000259,SKU-000259,Mouse 259,Electronics,27.44,58.93,True
PROD-000260,SKU-000260,Ball 260,Sports,66.63,87.01,True
PROD-000261,SKU-000261,Serum 261,Beauty,13.64,28.24,True
PROD-000262,SKU-000262,Desk 262,Home,117.31,149.73,True
PROD-000263,SKU-000263,Oil 263,Grocery,30.7,60.67,True
PROD-000264,SKU-000264,Chair 264,Home,17.22,25.07,True
PROD-000265,SKU-000265,Lamp 265,Home,28.22,55.67,True
PROD-000266,SKU-000266,Oil 266,Grocery,68.44,145.38,True
PROD-000267,SKU-000267,Cereal 267,Grocery,129.91,237.37,True
PROD-000268,SKU-000268,Monitor 268,Electronics,67.45,101.37,True
PROD-000269,SKU-000269,Mouse 269,Electronics,77.09,116.44,True
PROD-000270,SKU-000270,Mouse 270,Electronics,125.09,159.71,True
PROD-000271,SKU-000271,Webcam 271,Electronics,89.92,142.48,True
PROD-000272,SKU-000272,Monitor 272,Electronics,136.54,241.9,True
PROD-000273,SKU-000273,Pasta 273,Grocery,76.2,164.42,True
PROD-000274,SKU-000274,Ball 274,Sports,76.67,105.23,True
PROD-000275,SKU-000275,Soap 275,Beauty,79.56,143.99,True
PROD-000276,SKU-000276,Mat 276,Sports,62.5,96.15,True
PROD-000277,SKU-000277,Ball 277,Sports,50.79,89.29,True
PROD-000278,SKU-000278,Bottle 278,Sports,131.25,201.25,True
PROD-000279,SKU-000279,Desk 279,Home,47.91,88.92,True
PROD-000280,SKU-000280,Vacuum 280,Home,106.91,137.35,True
PROD-000281,SKU-000281,Shoes 281,Sports,101.18,205.29,True
PROD-000282,SKU-000282,Coffee 282,Grocery,97.61,158.46,True
PROD-000283,SKU-000283,Jersey 283,Sports,28.68,40.56,True
PROD-000284,SKU-000284,Cream 284,Beauty,35.53,47.52,True
PROD-000285,SKU-000285,Webcam 285,Electronics,116.09,236.26,True
PROD-000286,SKU-000286,Mouse 286,Electronics,131.71,239.45,True
PROD-000287,SKU-000287,Chair 287,Home,28.77,54.46,True
PROD-000288,SKU-000288,Pan 288,Home,8.47,13.25,True
PROD-000289,SKU-000289,Serum 289,Beauty,44.17,86.07,True
PROD-000290,SKU-000290,Tea 290,Grocery,47.8,96.01,True
PROD-000291,SKU-000291,Desk 291,Home,102.39,181.27,True
PROD-000292,SKU-000292,Mat 292,Sports,76.43,123.71,True
PROD-000293,SKU-000293,Vacuum 293,Home,22.48,32.6,True
PROD-000294,SKU-000294,Bottle 294,Sports,140.28,268.13,True
PROD-000295,SKU-000295,Mouse 295,Electronics,14.41,19.6,True
PROD-000296,SKU-000296,Tea 296,Grocery,124.99,161.45,True
PROD-000297,SKU-000297,Perfume 297,Beauty,139.71,225.62,True
PROD-000298,SKU-000298,Shoes 298,Sports,59.15,75.81,True
PROD-000299,SKU-000299,Ball 299,Sports,126.2,233.47,True
PROD-000300,SKU-000300,Lamp 300,Home,44.46,90.24,True
