redemption_id,order_id,promotion_id,discount_amount
RED-0000053,ORD-00002656,PROMO-0016,3.42
RED-0000054,ORD-00002974,PROMO-0029,73.93
RED-0000055,ORD-00002520,PROMO-0008,6.23
RED-0000056,ORD-00004648,PROMO-0003,8.25
RED-0000057,ORD-00003982,PROMO-0027,7.05
RED-0000058,ORD-00004364,PROMO-0025,11.18
RED-0000059,ORD-00003894,PROMO-0018,14.05
RED-0000060,ORD-00004323,PROMO-0028,46.28
RED-0000061,ORD-00001736,PROMO-0030,41.37
RED-0000062,ORD-00001648,PROMO-0023,24.76
RED-0000063,ORD-00003060,PROMO-0015,67.67
RED-0000064,ORD-00003699,PROMO-0004,20.1
RED-0000065,ORD-00000525,PROMO-0011,3.54
RED-0000066,ORD-00004538,PROMO-0008,44.96
RED-0000067,ORD-00000059,PROMO-0003,53.67
RED-0000068,ORD-00000483,PROMO-0008,6.92
RED-0000069,ORD-00000258,PROMO-0028,26.12
RED-0000070,ORD-00004212,PROMO-0008,22.33
RED-0000071,ORD-00003977,PROMO-0007,41.36
RED-0000072,ORD-00004678,PROMO-0019,36.5
RED-0000073,ORD-00003875,PROMO-0026,31.72
RED-0000074,ORD-00000773,PROMO-0004,50.11
RED-0000075,ORD-00002903,PROMO-0014,32.01
RED-0000076,ORD-00000444,PROMO-0022,49.7
RED-0000077,ORD-00000807,PROMO-0002,31.39
RED-0000078,ORD-00002780,PROMO-0026,64.9
RED-0000079,ORD-00002037,PROMO-0007,15.89
RED-0000080,ORD-00003676,PROMO-0005,32.8
RED-0000081,ORD-00002282,PROMO-0015,20.24
RED-0000082,ORD-00000618,PROMO-0015,60.99
RED-0000083,ORD-00004509,PROMO-0004,5.69
RED-0000084,ORD-00004429,PROMO-0027,3.08
RED-0000085,ORD-00000765,PROMO-0030,57.01
RED-0000086,ORD-00001937,PROMO-0006,31.67
RED-0000087,ORD-00003944,PROMO-0007,65.12
RED-0000088,ORD-00000481,PROMO-0006,29.67
RED-0000089,ORD-00003199,PROMO-0009,69.64
RED-0000090,ORD-00003728,PROMO-0010,32.88
RED-0000091,ORD-00004553,PROMO-0022,54.44
RED-0000092,ORD-00001269,PROMO-0007,23.66
RED-0000093,ORD-00000480,PROMO-0019,55.71
RED-0000094,ORD-00000500,PROMO-0024,24.89
RED-0000095,ORD-00000411,PROMO-0019,36.81
RED-0000096,ORD-00004351,PROMO-0006,6.15
RED-0000097,ORD-00004161,PROMO-0003,64.15
RED-0000098,ORD-00000562,PROMO-0020,6.96
RED-0000099,ORD-00001927,PROMO-0013,10.75
RED-0000100,ORD-00004667,PROMO-0008,44.26
RED-0000101,ORD-00000326,PROMO-0020,7.98
RED-0000102,ORD-00004782,PROMO-0019,40.16
RED-0000103,ORD-00002137,PROMO-0007,50.89
RED-0000104,ORD-00002574,PROMO-0008,21.39
RED-0000105,ORD-00001073,PROMO-0022,49.12
RED-0000106,ORD-00003746,PROMO-0011,69.82
RED-0000107,ORD-00000595,PROMO-0001,35.45
RED-0000108,ORD-00004613,PROMO-0004,7.35
RED-0000109,ORD-00001747,PROMO-0017,21.36
RED-0000110,ORD-00002860,PROMO-0029,7.02
RED-0000111,ORD-00002002,PROMO-0012,22.8
RED-0000112,ORD-00003590,PROMO-0027,41.65
RED-0000113,ORD-00002479,PROMO-0020,73.82
RED-0000114,ORD-00004334,PROMO-0001,50.75
RED-0000115,ORD-00004544,PROMO-0010,70.02
RED-0000116,ORD-00000849,PROMO-0029,11.8
RED-0000117,ORD-00000946,PROMO-0029,9.81
RED-0000118,ORD-00004533,PROMO-0005,21.88
RED-0000119,ORD-00004955,PROMO-0007,54.39
RED-0000120,ORD-00001668,PROMO-0022,48.3
RED-0000121,ORD-00002163,PROMO-0017,37.66
RED-0000122,ORD-00000417,PROMO-0003,48.3
RED-0000123,ORD-00002267,PROMO-0002,2.26
RED-0000124,ORD-00001072,PROMO-0021,73.53
RED-0000125,ORD-00001324,PROMO-0024,34.25
RED-0000126,ORD-00003504,PROMO-0018,2.71
RED-0000127,ORD-00000617,PROMO-0029,52.44
RED-0000128,ORD-00001222,PROMO-0018,4.63
RED-0000129,ORD-00003025,PROMO-0019,42.33
RED-0000130,ORD-00003521,PROMO-0005,5.05
RED-0000131,ORD-00002988,PROMO-0029,70.12
RED-0000132,ORD-00000327,PROMO-0029,28.12
RED-0000133,ORD-00002045,PROMO-0022,9.5
RED-0000134,ORD-00004587,PROMO-0029,65.85
RED-0000135,ORD-00001267,PROMO-0030,69.88
RED-0000136,ORD-00001332,PROMO-0026,61.19
RED-0000137,ORD-00003378,PROMO-0001,15.09
RED-0000138,ORD-00002722,PROMO-0026,69.95
RED-0000139,ORD-00002033,PROMO-0009,13.62
RED-0000140,ORD-00000886,PROMO-0013,65.67
RED-0000141,ORD-00003856,PROMO-0008,16.57
RED-0000142,ORD-00003771,PROMO-0012,24.28
RED-0000143,ORD-00001865,PROMO-0008,3.73
RED-0000144,ORD-00001583,PROMO-0013,25.96
RED-0000145,ORD-00000569,PROMO-0025,22.38
RED-0000146,ORD-00004174,PROMO-0013,51.6
RED-0000147,ORD-00004393,PROMO-0011,70.56
RED-0000148,ORD-00000945,PROMO-0029,72.84
RED-0000149,ORD-00001463,PROMO-0019,72.27
RED-0000150,ORD-00002175,PROMO-0002,9.91
RED-0000151,ORD-00003560,PROMO-0012,55.18
RED-0000152,ORD-00002570,PROMO-0014,46.25
RED-0000153,ORD-00004190,PROMO-0004,30.12
RED-0000154,ORD-00004724,PROMO-0007,20.59
RED-0000155,ORD-00003573,PROMO-0001,39.95
RED-0000156,ORD-00004411,PROMO-0022,54.52
RED-0000157,ORD-00001615,PROMO-0012,33.48
RED-0000158,ORD-00002705,PROMO-0020,24.92
RED-0000159,ORD-00001021,PROMO-0024,67.7
RED-0000160,ORD-00004155,PROMO-0010,50.68
RED-0000161,ORD-00002673,PROMO-0013,52.9
RED-0000162,ORD-00004542,PROMO-0005,16.0
RED-0000163,ORD-00003106,PROMO-0022,56.61
RED-0000164,ORD-00001426,PROMO-0020,43.54
RED-0000165,ORD-00003327,PROMO-0018,62.86
RED-0000166,ORD-00002490,PROMO-0010,17.34
RED-0000167,ORD-00004752,PROMO-0020,49.79
RED-0000168,ORD-00003810,PROMO-0015,34.28
RED-0000169,ORD-00001751,PROMO-0017,36.54
RED-0000170,ORD-00001391,PROMO-0022,8.19
RED-0000171,ORD-00004223,PROMO-0022,48.2
RED-0000172,ORD-00002746,PROMO-0003,61.74
RED-0000173,ORD-00001925,PROMO-0022,24.66
RED-0000174,ORD-00001632,PROMO-0005,3.78
RED-0000175,ORD-00002006,PROMO-0016,46.62
RED-0000176,ORD-00000597,PROMO-0015,32.25
RED-0000177,ORD-00004716,PROMO-0007,54.44
RED-0000178,ORD-00003146,PROMO-0016,31.17
RED-0000179,ORD-00001209,PROMO-0021,52.2
RED-0000180,ORD-00000874,PROMO-0025,33.04
RED-0000181,ORD-00001441,PROMO-0026,71.93
RED-0000182,ORD-00004244,PROMO-0015,5.67
RED-0000183,ORD-00002042,PROMO-0030,63.93
RED-0000184,ORD-00003740,PROMO-0005,60.5
RED-0000185,ORD-00004352,PROMO-0018,45.47
RED-0000186,ORD-00003626,PROMO-0020,61.5
RED-0000187,ORD-00004136,PROMO-0014,62.63
RED-0000188,ORD-00004489,PROMO-0015,67.5
RED-0000189,ORD-00003889,PROMO-0015,20.92
RED-0000190,ORD-00002026,PROMO-0027,48.55
RED-0000191,ORD-00004271,PROMO-0016,47.75
RED-0000192,ORD-00002250,PROMO-0015,7.66
RED-0000193,ORD-00002341,PROMO-0008,21.84
RED-0000194,ORD-00002620,PROMO-0029,41.43
RED-0000195,ORD-00001134,PROMO-0005,18.88
RED-0000196,ORD-00001252,PROMO-0023,17.62
RED-0000197,ORD-00003399,PROMO-0014,26.15
RED-0000198,ORD-00003817,PROMO-0014,6.55
RED-0000199,ORD-00003442,PROMO-0013,68.05
RED-0000200,ORD-00004785,PROMO-0023,3.43
RED-0000201,ORD-00004717,PROMO-0013,36.82
RED-0000202,ORD-00002882,PROMO-0010,57.0
RED-0000203,ORD-00003433,PROMO-0018,56.57
RED-0000204,ORD-00004474,PROMO-0026,46.04
RED-0000205,ORD-00001807,PROMO-0016,18.02
RED-0000206,ORD-00003571,PROMO-0016,4.12
RED-0000207,ORD-00002754,PROMO-0022,51.58
RED-0000208,ORD-00003313,PROMO-0024,14.05
RED-0000209,ORD-00003829,PROMO-0030,11.32
RED-0000210,ORD-00004376,PROMO-0001,68.21
RED-0000211,ORD-00004849,PROMO-0019,50.4
RED-0000212,ORD-00000688,PROMO-0021,33.29
RED-0000213,ORD-00003783,PROMO-0006,5.67
RED-0000214,ORD-00003106,PROMO-0011,17.45
RED-0000215,ORD-00002678,PROMO-0011,57.57
RED-0000216,ORD-00003106,PROMO-0009,56.9
RED-0000217,ORD-00003454,PROMO-0009,62.95
RED-0000218,ORD-00003853,PROMO-0001,56.68
RED-0000219,ORD-00000427,PROMO-0012,18.37
RED-0000220,ORD-00000563,PROMO-0025,71.88
RED-0000221,ORD-00000330,PROMO-0025,4.27
RED-0000222,ORD-00002026,PROMO-0007,63.26
RED-0000223,ORD-00001249,PROMO-0008,11.21
RED-0000224,ORD-00000938,PROMO-0019,71.19
RED-0000225,ORD-00003810,PROMO-0023,20.71
RED-0000226,ORD-00003022,PROMO-0006,46.23
RED-0000227,ORD-00000939,PROMO-0025,61.81
RED-0000228,ORD-00002549,PROMO-0004,44.24
RED-0000229,ORD-00002556,PROMO-0019,51.45
RED-0000230,ORD-00003075,PROMO-0013,70.73
RED-0000231,ORD-00001625,PROMO-0003,45.22
RED-0000232,ORD-00001990,PROMO-0004,52.9
RED-0000233,ORD-00002471,PROMO-0028,51.95
RED-0000234,ORD-00000992,PROMO-0026,73.82
RED-0000235,ORD-00000337,PROMO-0012,40.89
RED-0000236,ORD-00003036,PROMO-0003,38.94
RED-0000237,ORD-00002796,PROMO-0001,64.02
RED-0000238,ORD-00004016,PROMO-0004,33.65
RED-0000239,ORD-00002968,PROMO-0021,67.08
RED-0000240,ORD-00003767,PROMO-0023,13.17
RED-0000241,ORD-00001443,PROMO-0024,40.09
RED-0000242,ORD-00002213,PROMO-0020,61.0
RED-0000243,ORD-00004409,PROMO-0025,37.3
RED-0000244,ORD-00003569,PROMO-0027,55.36
RED-0000245,ORD-00002199,PROMO-0011,64.18
RED-0000246,ORD-00000710,PROMO-0009,66.36
RED-0000247,ORD-00001998,PROMO-0025,35.92
RED-0000248,ORD-00005000,PROMO-0022,29.67
RED-0000249,ORD-00000236,PROMO-0016,64.12
RED-0000250,ORD-00001490,PROMO-0016,17.48
RED-0000251,ORD-00002117,PROMO-0011,22.42
RED-0000252,ORD-00004884,PROMO-0023,66.25
RED-0000253,ORD-00004554,PROMO-0001,39.71
RED-0000254,ORD-00001566,PROMO-0003,19.62
RED-0000255,ORD-00003330,PROMO-0016,42.53
RED-0000256,ORD-00001969,PROMO-0023,36.75
RED-0000257,ORD-00004021,PROMO-0015,59.88
RED-0000258,ORD-00000763,PROMO-0010,18.18
RED-0000259,ORD-00001994,PROMO-0010,50.47
RED-0000260,ORD-00003024,PROMO-0016,42.4
RED-0000261,ORD-00002817,PROMO-0014,74.75
RED-0000262,ORD-00004509,PROMO-0011,27.68
RED-0000263,ORD-00003718,PROMO-0009,24.38
RED-0000264,ORD-00001889,PROMO-0004,54.65
RED-0000265,ORD-00002585,PROMO-0004,56.23
RED-0000266,ORD-00001517,PROMO-0007,17.8
RED-0000267,ORD-00003967,PROMO-0009,54.89
RED-0000268,ORD-00004298,PROMO-0020,22.66
RED-0000269,ORD-00000824,PROMO-0027,16.17
RED-0000270,ORD-00001864,PROMO-0012,15.1
RED-0000271,ORD-00000116,PROMO-0023,40.99
RED-0000272,ORD-00002248,PROMO-0002,73.12
RED-0000273,ORD-00004534,PROMO-0010,52.91
RED-0000274,ORD-00001035,PROMO-0021,65.4
RED-0000275,ORD-00004022,PROMO-0004,65.71
RED-0000276,ORD-00004703,PROMO-0010,36.27
RED-0000277,ORD-00003609,PROMO-0011,15.46
RED-0000278,ORD-00000421,PROMO-0009,70.7
RED-0000279,ORD-00003914,PROMO-0004,62.01
RED-0000280,ORD-00003283,PROMO-0016,7.41
RED-0000281,ORD-00000440,PROMO-0005,12.89
RED-0000282,ORD-00004611,PROMO-0010,8.22
RED-0000283,ORD-00002034,PROMO-0004,42.74
RED-0000284,ORD-00003410,PROMO-0020,45.52
RED-0000285,ORD-00001849,PROMO-0025,40.15
RED-0000286,ORD-00003691,PROMO-0030,34.32
RED-0000287,ORD-00004822,PROMO-0014,24.29
RED-0000288,ORD-00000494,PROMO-0020,72.09
RED-0000289,ORD-00000813,PROMO-0025,17.17
RED-0000290,ORD-00001729,PROMO-0009,50.21
RED-0000291,ORD-00001287,PROMO-0008,14.69
RED-0000292,ORD-00000615,PROMO-0006,2.2
RED-0000293,ORD-00003691,PROMO-0023,45.35
RED-0000294,ORD-00002386,PROMO-0002,18.9
RED-0000295,ORD-00002317,PROMO-0023,64.75
RED-0000296,ORD-00000584,PROMO-0022,19.04
RED-0000297,ORD-00002168,PROMO-0026,59.76
RED-0000298,ORD-00004832,PROMO-0022,60.69
RED-0000299,ORD-00001621,PROMO-0014,10.38
RED-0000300,ORD-00001842,PROMO-0021,12.88
RED-0000301,ORD-00002177,PROMO-0027,12.38
RED-0000302,ORD-00000489,PROMO-0006,59.86
RED-0000303,ORD-00004875,PROMO-0024,62.17
RED-0000304,ORD-00002365,PROMO-0015,11.08
RED-0000305,ORD-00002492,PROMO-0023,31.38
RED-0000306,ORD-00002231,PROMO-0017,41.42
RED-0000307,ORD-00003587,PROMO-0003,45.66
RED-0000308,ORD-00003540,PROMO-0024,25.53
RED-0000309,ORD-00002052,PROMO-0001,8.67
RED-0000310,ORD-00004713,PROMO-0019,71.41
RED-0000311,ORD-00002208,PROMO-0019,4.94
RED-0000312,ORD-00001436,PROMO-0016,39.88
RED-0000313,ORD-00003623,PROMO-0030,22.31
RED-0000314,ORD-00004796,PROMO-0014,48.34
RED-0000315,ORD-00004029,PROMO-0003,36.31
RED-0000316,ORD-00003346,PROMO-0011,25.44
RED-0000317,ORD-00000857,PROMO-0028,13.74
RED-0000318,ORD-00003373,PROMO-0023,38.17
RED-0000319,ORD-00003281,PROMO-0027,57.52
RED-0000320,ORD-00000301,PROMO-0015,8.43
RED-0000321,ORD-00002068,PROMO-0011,10.46
RED-0000322,ORD-00003312,PROMO-0028,39.57
RED-0000323,ORD-00000010,PROMO-0022,65.46
RED-0000324,ORD-00003785,PROMO-0014,5.96
RED-0000325,ORD-00004248,PROMO-0012,47.45
RED-0000326,ORD-00004084,PROMO-0021,34.27
RED-0000327,ORD-00000423,PROMO-0007,21.5
RED-0000328,ORD-00001074,PROMO-0030,23.03
RED-0000329,ORD-00003971,PROMO-0004,4.11
RED-0000330,ORD-00004988,PROMO-0026,19.47
RED-0000331,ORD-00001298,PROMO-0010,42.21
RED-0000332,ORD-00004525,PROMO-0014,8.8
RED-0000333,ORD-00000930,PROMO-0015,71.14
RED-0000334,ORD-00001262,PROMO-0016,70.08
RED-0000335,ORD-00002391,PROMO-0017,53.5
RED-0000336,ORD-00003404,PROMO-0027,37.22
RED-0000337,ORD-00003869,PROMO-0008,35.35
RED-0000338,ORD-00001185,PROMO-0013,15.91
RED-0000339,ORD-00004911,PROMO-0017,56.48
RED-0000340,ORD-00001119,PROMO-0028,7.1
RED-0000341,ORD-00003400,PROMO-0011,70.2
RED-0000342,ORD-00004160,PROMO-0009,61.9
RED-0000343,ORD-00002318,PROMO-0024,23.79
RED-0000344,ORD-00004809,PROMO-0019,74.92
RED-0000345,ORD-00004012,PROMO-0028,12.85
RED-0000346,ORD-00004413,PROMO-0016,27.19
RED-0000347,ORD-00004522,PROMO-0025,41.67
RED-0000348,ORD-00003731,PROMO-0030,25.49
RED-0000349,ORD-00001546,PROMO-0023,19.43
RED-0000350,ORD-00003138,PROMO-0008,64.49
RED-0000351,ORD-00003366,PROMO-0002,25.23
RED-0000352,ORD-00003875,PROMO-0023,68.68
RED-0000353,ORD-00003124,PROMO-0013,74.15
RED-0000354,ORD-00001247,PROMO-0016,72.43
RED-0000355,ORD-00001035,PROMO-0017,72.47
RED-0000356,ORD-00002720,PROMO-0028,9.33
RED-0000357,ORD-00003607,PROMO-0004,40.39
RED-0000358,ORD-00003744,PROMO-0001,54.74
RED-0000359,ORD-00003359,PROMO-0028,49.8
RED-0000360,ORD-00001265,PROMO-0003,36.27
RED-0000361,ORD-00002172,PROMO-0011,47.5
RED-0000362,ORD-00003257,PROMO-0021,7.86
RED-0000363,ORD-00002692,PROMO-0028,51.23
RED-0000364,ORD-00004372,PROMO-0013,71.65
RED-0000365,ORD-00003998,PROMO-0028,41.49
RED-0000366,ORD-00000561,PROMO-0008,48.07
RED-0000367,ORD-00002355,PROMO-0008,56.51
RED-0000368,ORD-00003556,PROMO-0004,57.51
RED-0000369,ORD-00000824,PROMO-0015,14.14
RED-0000370,ORD-00002454,PROMO-0029,4.11
RED-0000371,ORD-00002658,PROMO-0026,6.1
RED-0000372,ORD-00002937,PROMO-0012,33.44
RED-0000373,ORD-00002001,PROMO-0017,32.08
RED-0000374,ORD-00001476,PROMO-0006,14.78
RED-0000375,ORD-00004993,PROMO-0028,29.93
RED-0000376,ORD-00001973,PROMO-0016,68.64
RED-0000377,ORD-00001173,PROMO-0008,35.66
RED-0000378,ORD-00002081,PROMO-0015,20.64
RED-0000379,ORD-00000077,PROMO-0029,60.74
RED-0000380,ORD-00002357,PROMO-0022,41.9
RED-0000381,ORD-00000606,PROMO-0015,71.0
RED-0000382,ORD-00004814,PROMO-0010,48.64
RED-0000383,ORD-00003476,PROMO-0023,20.26
RED-0000384,ORD-00002475,PROMO-0007,74.95
RED-0000385,ORD-00003959,PROMO-0004,19.32
RED-0000386,ORD-00004686,PROMO-0012,43.96
RED-0000387,ORD-00002419,PROMO-0001,73.39
RED-0000388,ORD-00003243,PROMO-0009,2.59
RED-0000389,ORD-00000402,PROMO-0030,46.27
RED-0000390,ORD-00004070,PROMO-0027,68.0
RED-0000391,ORD-00002345,PROMO-0025,60.32
RED-0000392,ORD-00004974,PROMO-0026,27.72
RED-0000393,ORD-00001558,PROMO-0020,20.3
RED-0000394,ORD-00001121,PROMO-0021,9.09
RED-0000395,ORD-00000323,PROMO-0010,59.57
RED-0000396,ORD-00000274,PROMO-0019,28.63
RED-0000397,ORD-00001077,PROMO-0003,68.4
RED-0000398,ORD-00002677,PROMO-0024,32.33
RED-0000399,ORD-00001645,PROMO-0005,59.42
RED-0000400,ORD-00002998,PROMO-0017,38.63
RED-0000401,ORD-00002233,PROMO-0027,14.01
RED-0000402,ORD-00003948,PROMO-0026,23.55
RED-0000403,ORD-00002775,PROMO-0026,10.41
RED-0000404,ORD-00000617,PROMO-0005,57.05
RED-0000405,ORD-00001849,PROMO-0028,51.37
RED-0000406,ORD-00003256,PROMO-0028,60.73
RED-0000407,ORD-00002997,PROMO-0003,59.72
RED-0000408,ORD-00000115,PROMO-0009,41.17
RED-0000409,ORD-00003726,PROMO-0012,51.12
RED-0000410,ORD-00002148,PROMO-0019,29.81
RED-0000411,ORD-00003044,PROMO-0004,51.26
RED-0000412,ORD-00003863,PROMO-0001,47.23
RED-0000413,ORD-00004600,PROMO-0011,68.81
RED-0000414,ORD-00001814,PROMO-0021,6.61
RED-0000415,ORD-00003804,PROMO-0030,53.18
RED-0000416,ORD-00003345,PROMO-0004,12.2
RED-0000417,ORD-00000305,PROMO-0010,74.7
RED-0000418,ORD-00000952,PROMO-0004,19.14
RED-0000419,ORD-00004404,PROMO-0005,30.37
RED-0000420,ORD-00003040,PROMO-0022,71.3
RED-0000421,ORD-00004426,PROMO-0014,44.88
RED-0000422,ORD-00001266,PROMO-0029,32.29
RED-0000423,ORD-00000812,PROMO-0027,37.72
RED-0000424,ORD-00003344,PROMO-0009,4.39
RED-0000425,ORD-00003036,PROMO-0007,34.37
RED-0000426,ORD-00001935,PROMO-0028,28.48
RED-0000427,ORD-00003010,PROMO-0018,67.82
RED-0000428,ORD-00002939,PROMO-0002,31.06
RED-0000429,ORD-00001555,PROMO-0004,71.28
RED-0000430,ORD-00003726,PROMO-0003,50.38
RED-0000431,ORD-00004892,PROMO-0001,5.69
RED-0000432,ORD-00002733,PROMO-0008,74.18
RED-0000433,ORD-00004626,PROMO-0007,7.01
RED-0000434,ORD-00004541,PROMO-0007,44.81
RED-0000435,ORD-00001909,PROMO-0011,58.53
RED-0000436,ORD-00004883,PROMO-0001,22.24
RED-0000437,ORD-00001186,PROMO-0005,41.44
RED-0000438,ORD-00001430,PROMO-0004,50.26
RED-0000439,ORD-00000212,PROMO-0005,3.08
RED-0000440,ORD-00001950,PROMO-0019,25.64
RED-0000441,ORD-00001428,PROMO-0009,5.83
RED-0000442,ORD-00003449,PROMO-0017,10.3
RED-0000443,ORD-00000521,PROMO-0016,34.72
RED-0000444,ORD-00002966,PROMO-0017,45.34
RED-0000445,ORD-00003703,PROMO-0017,18.17
RED-0000446,ORD-00000356,PROMO-0024,59.18
RED-0000447,ORD-00004272,PROMO-0010,35.44
RED-0000448,ORD-00000256,PROMO-0002,74.9
RED-0000449,ORD-00003291,PROMO-0014,52.09
RED-0000450,ORD-00004017,PROMO-0023,68.41
RED-0000451,ORD-00000603,PROMO-0029,7.9
RED-0000452,ORD-00004984,PROMO-0005,6.79
RED-0000453,ORD-00002253,PROMO-0020,48.21
RED-0000454,ORD-00004493,PROMO-0023,25.74
RED-0000455,ORD-00004894,PROMO-0017,23.53
RED-0000456,ORD-00004142,PROMO-0020,33.4
RED-0000457,ORD-00000938,PROMO-0028,49.79
RED-0000458,ORD-00004517,PROMO-0024,65.18
RED-0000459,ORD-00003524,PROMO-0015,66.83
RED-0000460,ORD-00003390,PROMO-0011,62.4
RED-0000461,ORD-00003267,PROMO-0014,55.26
RED-0000462,ORD-00002561,PROMO-0014,24.81
RED-0000463,ORD-00002089,PROMO-0012,71.61
RED-0000464,ORD-00003886,PROMO-0003,8.66
RED-0000465,ORD-00000700,PROMO-0003,33.53
RED-0000466,ORD-00003053,PROMO-0026,11.5
RED-0000467,ORD-00000492,PROMO-0019,71.83
RED-0000468,ORD-00004602,PROMO-0011,50.91
RED-0000469,ORD-00003366,PROMO-0012,65.77
RED-0000470,ORD-00003465,PROMO-0028,68.86
RED-0000471,ORD-00000422,PROMO-0010,45.83
RED-0000472,ORD-00002881,PROMO-0004,44.19
RED-0000473,ORD-00001743,PROMO-0005,49.94
RED-0000474,ORD-00001838,PROMO-0028,9.9
RED-0000475,ORD-00004557,PROMO-0012,10.39
RED-0000476,ORD-00002283,PROMO-0019,18.51
RED-0000477,ORD-00003516,PROMO-0028,42.95
RED-0000478,ORD-00004561,PROMO-0001,46.46
RED-0000479,ORD-00002191,PROMO-0001,15.17
RED-0000480,ORD-00002532,PROMO-0030,26.81
RED-0000481,ORD-00000051,PROMO-0006,65.5
RED-0000482,ORD-00004640,PROMO-0022,31.26
RED-0000483,ORD-00001163,PROMO-0024,48.22
RED-0000484,ORD-00000252,PROMO-0003,56.47
RED-0000485,ORD-00001763,PROMO-0013,32.65
RED-0000486,ORD-00002793,PROMO-0006,29.01
RED-0000487,ORD-00002658,PROMO-0025,70.72
RED-0000488,ORD-00004885,PROMO-0003,66.48
RED-0000489,ORD-00001275,PROMO-0006,57.07
RED-0000490,ORD-00000408,PROMO-0022,7.96
RED-0000491,ORD-00003630,PROMO-0022,32.95
RED-0000492,ORD-00004974,PROMO-0015,32.24
RED-0000493,ORD-00001766,PROMO-0025,39.4
RED-0000494,ORD-00002828,PROMO-0014,10.09
RED-0000495,ORD-00004859,PROMO-0016,40.47
RED-0000496,ORD-00002527,PROMO-0002,18.1
RED-0000497,ORD-00004910,PROMO-0002,2.56
RED-0000498,ORD-00002470,PROMO-0007,58.02
RED-0000499,ORD-00002094,PROMO-0010,25.95
RED-0000500,ORD-00000064,PROMO-0016,56.53
RED-0000501,ORD-00001440,PROMO-0005,29.76
RED-0000502,ORD-00001886,PROMO-0017,42.79
RED-0000503,ORD-00002902,PROMO-0003,30.99
RED-0000504,ORD-00000347,PROMO-0014,3.37
RED-0000505,ORD-00000638,PROMO-0028,24.85
RED-0000506,ORD-00003517,PROMO-0019,31.52
RED-0000507,ORD-00003422,PROMO-0010,10.41
RED-0000508,ORD-00000171,PROMO-0011,14.55
RED-0000509,ORD-00003770,PROMO-0027,52.34
RED-0000510,ORD-00002965,PROMO-0003,33.88
RED-0000511,ORD-00000868,PROMO-0008,33.8
RED-0000512,ORD-00003281,PROMO-0017,7.74
RED-0000513,ORD-00002542,PROMO-0024,26.78
RED-0000514,ORD-00002729,PROMO-0025,14.27
RED-0000515,ORD-00004182,PROMO-0021,10.32
RED-0000516,ORD-00004178,PROMO-0007,68.13
