order_item_id,order_id,product_id,quantity,unit_price,discount_amount
ITEM-000000043,ORD-00000019,PROD-000010,1,265.73,49.38
ITEM-000000044,ORD-00000019,PROD-000158,2,51.52,0.6
ITEM-000000045,ORD-00000019,PROD-000291,1,181.27,3.11
ITEM-000000046,ORD-00000019,PROD-000249,1,45.99,9.0
ITEM-000000047,ORD-00000020,PROD-000066,4,12.81,2.43
ITEM-000000048,ORD-00000020,PROD-000085,3,65.75,6.94
ITEM-000000049,ORD-00000021,PROD-000109,5,82.03,12.39
ITEM-000000050,ORD-00000021,PROD-000103,3,155.54,12.41
ITEM-000000051,ORD-00000021,PROD-000192,4,222.13,39.97
ITEM-000000052,ORD-00000021,PROD-000232,1,124.85,6.19
ITEM-000000053,ORD-00000022,PROD-000174,1,92.99,10.94
ITEM-000000054,ORD-00000023,PROD-000113,1,38.45,0.55
ITEM-000000055,ORD-00000023,PROD-000031,2,215.03,2.9
ITEM-000000056,ORD-00000024,PROD-000170,1,124.7,12.82
ITEM-000000057,ORD-00000025,PROD-000249,2,45.99,4.96
ITEM-000000058,ORD-00000025,PROD-000293,5,32.6,3.08
ITEM-000000059,ORD-00000025,PROD-000243,4,179.01,6.82
ITEM-000000060,ORD-00000026,PROD-000221,3,68.23,5.78
ITEM-000000061,ORD-00000027,PROD-000028,1,283.29,3.43
ITEM-000000062,ORD-00000027,PROD-000174,1,92.99,4.62
ITEM-000000063,ORD-00000027,PROD-000098,5,54.47,4.89
ITEM-000000064,ORD-00000027,PROD-000217,2,39.78,2.22
ITEM-000000065,ORD-00000028,PROD-000039,4,21.15,3.42
ITEM-000000066,ORD-00000028,PROD-000282,1,158.46,1.6
ITEM-000000067,ORD-00000029,PROD-000048,2,239.02,7.95
ITEM-000000068,ORD-00000030,PROD-000247,2,95.38,16.49
ITEM-000000069,ORD-00000030,PROD-000031,2,215.03,16.3
ITEM-000000070,ORD-00000030,PROD-000200,3,169.62,31.43
ITEM-000000071,ORD-00000030,PROD-000233,3,153.78,13.01
ITEM-000000072,ORD-00000031,PROD-000080,2,141.46,8.39
ITEM-000000073,ORD-00000031,PROD-000030,5,45.68,6.72
ITEM-000000074,ORD-00000031,PROD-000032,3,114.8,1.31
ITEM-000000075,ORD-00000031,PROD-000300,4,90.24,9.08
ITEM-000000076,ORD-00000032,PROD-000030,5,45.68,0.73
ITEM-000000077,ORD-00000032,PROD-000096,1,261.99,31.18
ITEM-000000078,ORD-00000033,PROD-000207,1,264.8,49.87
ITEM-000000079,ORD-00000033,PROD-000292,2,123.71,14.32
ITEM-000000080,ORD-00000034,PROD-000042,4,20.87,2.74
ITEM-000000081,ORD-00000035,PROD-000134,2,240.79,32.25
ITEM-000000082,ORD-00000035,PROD-000161,2,9.57,0.51
ITEM-000000083,ORD-00000035,PROD-000068,3,284.88,26.05
ITEM-000000084,ORD-00000036,PROD-000005,4,162.22,20.15
ITEM-000000085,ORD-00000037,PROD-000038,5,87.71,3.74
ITEM-000000086,ORD-00000038,PROD-000068,3,284.88,50.19
ITEM-000000087,ORD-00000038,PROD-000126,3,87.75,5.0
ITEM-000000088,ORD-00000038,PROD-000225,5,155.38,21.86
ITEM-000000089,ORD-00000039,PROD-000284,3,47.52,8.86
ITEM-000000090,ORD-00000040,PROD-000069,3,294.54,6.8
ITEM-000000091,ORD-00000041,PROD-000284,2,47.52,2.59
ITEM-000000092,ORD-00000042,PROD-000176,2,207.29,28.5
ITEM-000000093,ORD-00000042,PROD-000136,5,57.07,5.58
ITEM-000000094,ORD-00000043,PROD-000048,4,239.02,39.65
ITEM-000000095,ORD-00000044,PROD-000002,3,24.12,3.72
ITEM-000000096,ORD-00000045,PROD-000083,4,56.68,6.25
ITEM-000000097,ORD-00000045,PROD-000219,5,170.99,0.33
ITEM-000000098,ORD-00000045,PROD-000039,2,21.15,2.31
ITEM-000000099,ORD-00000046,PROD-000299,5,233.47,6.92
ITEM-000000100,ORD-00000046,PROD-000066,1,12.81,0.79
ITEM-000000101,ORD-00000046,PROD-000021,3,258.38,10.86
ITEM-000000102,ORD-00000047,PROD-000053,3,113.39,17.69
ITEM-000000103,ORD-00000047,PROD-000209,5,179.59,26.92
ITEM-000000104,ORD-00000048,PROD-000084,2,138.49,24.41
ITEM-000000105,ORD-00000048,PROD-000013,2,89.16,13.13
ITEM-000000106,ORD-00000049,PROD-000211,2,34.19,1.82
ITEM-000000107,ORD-00000049,PROD-000056,4,207.38,36.17
ITEM-000000108,ORD-00000049,PROD-000241,2,199.27,7.95
ITEM-000000109,ORD-00000050,PROD-000180,3,175.36,28.78
ITEM-000000110,ORD-00000050,PROD-000117,2,220.67,1.04
ITEM-000000111,ORD-00000050,PROD-000099,4,85.82,5.63
ITEM-000000112,ORD-00000050,PROD-000036,3,46.08,3.24
ITEM-000000113,ORD-00000051,PROD-000275,3,143.99,27.05
ITEM-000000114,ORD-00000051,PROD-000060,3,175.48,6.27
ITEM-000000115,ORD-00000051,PROD-000136,1,57.07,1.24
ITEM-000000116,ORD-00000051,PROD-000223,3,37.75,5.5
ITEM-000000117,ORD-00000052,PROD-000224,5,108.39,21.34
ITEM-000000118,ORD-00000052,PROD-000060,4,175.48,31.57
ITEM-000000119,ORD-00000052,PROD-000098,3,54.47,0.48
ITEM-000000120,ORD-00000053,PROD-000001,5,161.47,29.89
ITEM-000000121,ORD-00000053,PROD-000276,2,96.15,7.0
ITEM-000000122,ORD-00000053,PROD-000036,3,46.08,5.74
ITEM-000000123,ORD-00000053,PROD-000064,3,39.81,4.04
ITEM-000000124,ORD-00000054,PROD-000168,4,145.2,20.25
ITEM-000000125,ORD-00000054,PROD-000284,2,47.52,1.82
ITEM-000000126,ORD-00000054,PROD-000195,2,272.68,33.57
ITEM-000000127,ORD-00000054,PROD-000155,4,199.69,21.88
ITEM-000000128,ORD-00000055,PROD-000156,3,108.51,4.56
ITEM-000000129,ORD-00000056,PROD-000239,4,261.64,23.14
ITEM-000000130,ORD-00000056,PROD-000110,5,230.22,21.79
ITEM-000000131,ORD-00000056,PROD-000087,1,82.01,4.65
ITEM-000000132,ORD-00000057,PROD-000048,2,239.02,32.16
ITEM-000000133,ORD-00000057,PROD-000116,2,189.39,5.58
ITEM-000000134,ORD-00000057,PROD-000024,2,195.99,38.57
ITEM-000000135,ORD-00000058,PROD-000234,4,86.25,15.29
ITEM-000000136,ORD-00000059,PROD-000197,4,142.58,11.4
ITEM-000000137,ORD-00000059,PROD-000076,1,192.0,34.28
ITEM-000000138,ORD-00000060,PROD-000218,2,184.34,6.48
ITEM-000000139,ORD-00000061,PROD-000026,5,248.15,12.37
ITEM-000000140,ORD-00000061,PROD-000063,4,42.54,1.13
ITEM-000000141,ORD-00000061,PROD-000238,5,67.16,13.27
ITEM-000000142,ORD-00000061,PROD-000163,4,87.64,10.74
ITEM-000000143,ORD-00000062,PROD-000281,4,205.29,36.84
ITEM-000000144,ORD-00000062,PROD-000244,4,54.61,2.83
ITEM-000000145,ORD-00000062,PROD-000127,3,79.49,12.17
ITEM-000000146,ORD-00000062,PROD-000267,4,237.37,29.75
ITEM-000000147,ORD-00000063,PROD-000226,1,148.45,21.19
ITEM-000000148,ORD-00000063,PROD-000121,3,258.33,17.35
ITEM-000000149,ORD-00000063,PROD-000277,1,89.29,2.47
ITEM-000000150,ORD-00000064,PROD-000197,2,142.58,20.14
ITEM-000000151,ORD-00000064,PROD-000033,4,93.06,7.59
ITEM-000000152,ORD-00000065,PROD-000213,1,151.52,6.27
ITEM-000000153,ORD-00000065,PROD-000216,4,179.85,32.55
ITEM-000000154,ORD-00000065,PROD-000300,1,90.24,15.46
ITEM-000000155,ORD-00000065,PROD-000295,4,19.6,1.87
ITEM-000000156,ORD-00000066,PROD-000153,4,111.79,19.08
ITEM-000000157,ORD-00000066,PROD-000215,5,145.42,21.74
ITEM-000000158,ORD-00000066,PROD-000280,5,137.35,24.66
ITEM-000000159,ORD-00000067,PROD-000113,3,38.45,3.35
ITEM-000000160,ORD-00000067,PROD-000015,4,77.71,5.22
ITEM-000000161,ORD-00000067,PROD-000208,2,11.88,2.0
ITEM-000000162,ORD-00000067,PROD-000066,5,12.81,1.37
ITEM-000000163,ORD-00000068,PROD-000289,1,86.07,1.45
ITEM-000000164,ORD-00000068,PROD-000220,2,23.88,4.14
ITEM-000000165,ORD-00000068,PROD-000094,1,220.54,11.47
ITEM-000000166,ORD-00000068,PROD-000168,2,145.2,13.2
ITEM-000000167,ORD-00000069,PROD-000195,3,272.68,41.01
ITEM-000000168,ORD-00000069,PROD-000216,3,179.85,30.03
ITEM-000000169,ORD-00000069,PROD-000241,1,199.27,29.85
ITEM-000000170,ORD-00000070,PROD-000180,2,175.36,22.8
ITEM-000000171,ORD-00000071,PROD-000016,2,56.87,2.27
ITEM-000000172,ORD-00000072,PROD-000079,2,158.41,4.0
ITEM-000000173,ORD-00000073,PROD-000289,2,86.07,8.01
ITEM-000000174,ORD-00000074,PROD-000189,2,238.16,28.86
ITEM-000000175,ORD-00000074,PROD-000059,2,24.94,4.81
ITEM-000000176,ORD-00000074,PROD-000056,5,207.38,1.07
ITEM-000000177,ORD-00000075,PROD-000295,4,19.6,1.55
ITEM-000000178,ORD-00000075,PROD-000102,1,242.49,28.72
ITEM-000000179,ORD-00000075,PROD-000125,1,191.28,26.67
ITEM-000000180,ORD-00000076,PROD-000062,5,155.19,24.29
ITEM-000000181,ORD-00000076,PROD-000178,5,192.03,16.45
ITEM-000000182,ORD-00000076,PROD-000190,1,66.83,6.76
ITEM-000000183,ORD-00000077,PROD-000007,4,234.37,38.55
ITEM-000000184,ORD-00000077,PROD-000055,4,139.15,26.74
ITEM-000000185,ORD-00000077,PROD-000236,2,24.26,2.11
ITEM-000000186,ORD-00000078,PROD-000276,4,96.15,8.94
ITEM-000000187,ORD-00000078,PROD-000138,3,256.34,43.67
ITEM-000000188,ORD-00000078,PROD-000045,3,139.38,24.58
ITEM-000000189,ORD-00000079,PROD-000238,5,67.16,8.2
ITEM-000000190,ORD-00000079,PROD-000195,3,272.68,1.57
ITEM-000000191,ORD-00000080,PROD-000094,4,220.54,9.36
ITEM-000000192,ORD-00000080,PROD-000133,3,67.78,3.79
ITEM-000000193,ORD-00000080,PROD-000142,5,42.45,0.09
ITEM-000000194,ORD-00000081,PROD-000044,2,31.7,4.57
ITEM-000000195,ORD-00000081,PROD-000251,5,149.42,22.66
ITEM-000000196,ORD-00000082,PROD-000252,4,138.21,21.92
ITEM-000000197,ORD-00000082,PROD-000048,3,239.02,10.59
ITEM-000000198,ORD-00000082,PROD-000125,3,191.28,25.4
ITEM-000000199,ORD-00000082,PROD-000189,4,238.16,26.36
ITEM-000000200,ORD-00000083,PROD-000218,5,184.34,12.2
ITEM-000000201,ORD-00000083,PROD-000233,3,153.78,9.43
ITEM-000000202,ORD-00000083,PROD-000119,1,241.98,34.91
ITEM-000000203,ORD-00000084,PROD-000062,5,155.19,29.51
ITEM-000000204,ORD-00000084,PROD-000095,2,256.52,11.1
ITEM-000000205,ORD-00000084,PROD-000248,3,206.76,29.96
ITEM-000000206,ORD-00000085,PROD-000052,2,197.07,11.68
ITEM-000000207,ORD-00000085,PROD-000185,2,183.85,11.11
ITEM-000000208,ORD-00000085,PROD-000274,2,105.23,5.77
ITEM-000000209,ORD-00000086,PROD-000284,3,47.52,6.63
ITEM-000000210,ORD-00000087,PROD-000252,1,138.21,24.12
ITEM-000000211,ORD-00000087,PROD-000294,3,268.13,25.17
ITEM-000000212,ORD-00000088,PROD-000175,2,285.03,55.04
ITEM-000000213,ORD-00000088,PROD-000130,4,154.33,3.52
ITEM-000000214,ORD-00000088,PROD-000034,4,22.91,2.25
ITEM-000000215,ORD-00000088,PROD-000296,1,161.45,4.9
ITEM-000000216,ORD-00000089,PROD-000044,2,31.7,0.75
ITEM-000000217,ORD-00000089,PROD-000214,5,199.19,23.75
ITEM-000000218,ORD-00000089,PROD-000116,5,189.39,14.41
ITEM-000000219,ORD-00000090,PROD-000153,5,111.79,22.14
ITEM-000000220,ORD-00000090,PROD-000157,5,15.55,1.93
ITEM-000000221,ORD-00000090,PROD-000051,2,151.67,18.97
ITEM-000000222,ORD-00000090,PROD-000136,1,57.07,1.79
ITEM-000000223,ORD-00000091,PROD-000283,1,40.56,1.27
ITEM-000000224,ORD-00000091,PROD-000210,4,24.0,3.31
ITEM-000000225,ORD-00000092,PROD-000150,1,213.07,9.86
ITEM-000000226,ORD-00000092,PROD-000145,4,223.58,3.18
ITEM-000000227,ORD-00000092,PROD-000120,3,150.5,23.71
ITEM-000000228,ORD-00000092,PROD-000102,4,242.49,5.57
ITEM-000000229,ORD-00000093,PROD-000077,3,105.6,17.46
ITEM-000000230,ORD-00000093,PROD-000037,1,237.13,7.87
ITEM-000000231,ORD-00000094,PROD-000292,3,123.71,10.87
ITEM-000000232,ORD-00000094,PROD-000240,3,62.18,8.7
ITEM-000000233,ORD-00000094,PROD-000140,5,113.52,12.26
ITEM-000000234,ORD-00000095,PROD-000042,5,20.87,0.17
ITEM-000000235,ORD-00000095,PROD-000222,3,173.52,20.95
ITEM-000000236,ORD-00000095,PROD-000014,1,250.44,11.47
ITEM-000000237,ORD-00000095,PROD-000295,5,19.6,3.73
ITEM-000000238,ORD-00000096,PROD-000296,1,161.45,24.64
ITEM-000000239,ORD-00000096,PROD-000090,4,115.9,12.03
ITEM-000000240,ORD-00000096,PROD-000227,3,231.18,8.39
ITEM-000000241,ORD-00000097,PROD-000252,1,138.21,12.99
ITEM-000000242,ORD-00000097,PROD-000210,3,24.0,1.54
ITEM-000000243,ORD-00000097,PROD-000054,2,6.16,0.41
ITEM-000000244,ORD-00000097,PROD-000254,3,59.19,7.84
ITEM-000000245,ORD-00000098,PROD-000282,1,158.46,14.41
ITEM-000000246,ORD-00000098,PROD-000162,3,263.26,17.02
ITEM-000000247,ORD-00000098,PROD-000207,5,264.8,43.69
ITEM-000000248,ORD-00000098,PROD-000001,5,161.47,14.92
ITEM-000000249,ORD-00000099,PROD-000097,5,186.58,13.5
ITEM-000000250,ORD-00000100,PROD-000227,1,231.18,9.41
ITEM-000000251,ORD-00000100,PROD-000282,2,158.46,29.4
ITEM-000000252,ORD-00000100,PROD-000225,4,155.38,3.77
ITEM-000000253,ORD-00000100,PROD-000123,2,211.38,13.14
ITEM-000000254,ORD-00000101,PROD-000283,4,40.56,0.76
ITEM-000000255,ORD-00000102,PROD-000237,1,214.52,27.79
ITEM-000000256,ORD-00000103,PROD-000256,3,26.12,2.66
ITEM-000000257,ORD-00000103,PROD-000140,4,113.52,18.95
ITEM-000000258,ORD-00000104,PROD-000125,4,191.28,21.09
ITEM-000000259,ORD-00000104,PROD-000197,2,142.58,26.29
ITEM-000000260,ORD-00000104,PROD-000261,2,28.24,4.88
ITEM-000000261,ORD-00000104,PROD-000142,4,42.45,2.89
ITEM-000000262,ORD-00000105,PROD-000002,3,24.12,3.5
ITEM-000000263,ORD-00000105,PROD-000297,4,225.62,39.04
ITEM-000000264,ORD-00000105,PROD-000229,5,175.01,16.95
ITEM-000000265,ORD-00000106,PROD-000283,5,40.56,3.06
ITEM-000000266,ORD-00000106,PROD-000165,2,223.01,43.74
ITEM-000000267,ORD-00000106,PROD-000123,5,211.38,16.19
ITEM-000000268,ORD-00000107,PROD-000023,3,61.71,9.19
ITEM-000000269,ORD-00000107,PROD-000196,4,266.04,52.59
ITEM-000000270,ORD-00000107,PROD-000078,4,104.84,20.23
ITEM-000000271,ORD-00000107,PROD-000065,5,11.5,2.22
ITEM-000000272,ORD-00000108,PROD-000052,4,197.07,3.93
ITEM-000000273,ORD-00000108,PROD-000234,1,86.25,12.46
ITEM-000000274,ORD-00000108,PROD-000210,2,24.0,0.36
ITEM-000000275,ORD-00000109,PROD-000174,5,92.99,12.88
ITEM-000000276,ORD-00000109,PROD-000042,3,20.87,3.56
ITEM-000000277,ORD-00000109,PROD-000274,4,105.23,20.08
ITEM-000000278,ORD-00000110,PROD-000278,1,201.25,24.85
ITEM-000000279,ORD-00000110,PROD-000121,3,258.33,51.53
ITEM-000000280,ORD-00000110,PROD-000047,4,16.68,3.26
ITEM-000000281,ORD-00000110,PROD-000052,4,197.07,6.56
ITEM-000000282,ORD-00000111,PROD-000015,1,77.71,5.04
ITEM-000000283,ORD-00000111,PROD-000029,3,254.26,18.23
ITEM-000000284,ORD-00000111,PROD-000221,2,68.23,3.33
ITEM-000000285,ORD-00000112,PROD-000290,2,96.01,3.26
ITEM-000000286,ORD-00000112,PROD-000041,5,146.19,25.46
ITEM-000000287,ORD-00000112,PROD-000124,4,85.6,15.63
ITEM-000000288,ORD-00000112,PROD-000074,2,214.62,19.79
ITEM-000000289,ORD-00000113,PROD-000236,3,24.26,3.24
ITEM-000000290,ORD-00000113,PROD-000239,3,261.64,35.46
ITEM-000000291,ORD-00000113,PROD-000081,1,132.7,11.72
ITEM-000000292,ORD-00000114,PROD-000154,4,128.85,17.79
ITEM-000000293,ORD-00000114,PROD-000234,3,86.25,3.44
ITEM-000000294,ORD-00000114,PROD-000197,4,142.58,3.04
ITEM-000000295,ORD-00000115,PROD-000293,3,32.6,3.75
ITEM-000000296,ORD-00000115,PROD-000152,1,40.04,7.83
ITEM-000000297,ORD-00000115,PROD-000203,3,217.05,0.35
ITEM-000000298,ORD-00000115,PROD-000026,5,248.15,36.98
ITEM-000000299,ORD-00000116,PROD-000118,5,182.0,29.19
ITEM-000000300,ORD-00000116,PROD-000113,2,38.45,4.77
ITEM-000000301,ORD-00000116,PROD-000071,1,48.6,8.78
ITEM-000000302,ORD-00000117,PROD-000159,4,115.09,0.77
ITEM-000000303,ORD-00000118,PROD-000068,1,284.88,51.83
ITEM-000000304,ORD-00000118,PROD-000168,4,145.2,5.1
ITEM-000000305,ORD-00000118,PROD-000068,5,284.88,49.94
ITEM-000000306,ORD-00000119,PROD-000272,5,241.9,44.19
ITEM-000000307,ORD-00000119,PROD-000085,3,65.75,12.02
ITEM-000000308,ORD-00000119,PROD-000247,3,95.38,14.24
ITEM-000000309,ORD-00000120,PROD-000059,4,24.94,4.8
ITEM-000000310,ORD-00000120,PROD-000073,2,65.08,11.2
ITEM-000000311,ORD-00000120,PROD-000204,5,193.75,14.17
ITEM-000000312,ORD-00000121,PROD-000008,3,169.86,18.23
ITEM-000000313,ORD-00000121,PROD-000233,3,153.78,20.69
ITEM-000000314,ORD-00000121,PROD-000135,5,164.35,12.52
ITEM-000000315,ORD-00000121,PROD-000191,1,254.19,34.31
ITEM-000000316,ORD-00000122,PROD-000013,5,89.16,15.77
ITEM-000000317,ORD-00000122,PROD-000288,3,13.25,2.43
ITEM-000000318,ORD-00000122,PROD-000114,1,178.3,22.66
ITEM-000000319,ORD-00000122,PROD-000238,3,67.16,8.72
ITEM-000000320,ORD-00000123,PROD-000072,1,70.42,13.33
ITEM-000000321,ORD-00000124,PROD-000253,1,14.2,0.28
ITEM-000000322,ORD-00000124,PROD-000276,2,96.15,7.47
ITEM-000000323,ORD-00000124,PROD-000190,5,66.83,5.6
ITEM-000000324,ORD-00000125,PROD-000213,1,151.52,25.26
ITEM-000000325,ORD-00000125,PROD-000209,3,179.59,1.18
ITEM-000000326,ORD-00000126,PROD-000112,4,194.6,17.31
ITEM-000000327,ORD-00000126,PROD-000121,3,258.33,5.13
ITEM-000000328,ORD-00000126,PROD-000189,5,238.16,42.95
ITEM-000000329,ORD-00000127,PROD-000032,4,114.8,6.33
ITEM-000000330,ORD-00000127,PROD-000063,4,42.54,0.78
ITEM-000000331,ORD-00000127,PROD-000109,5,82.03,15.93
ITEM-000000332,ORD-00000128,PROD-000171,2,85.33,16.88
ITEM-000000333,ORD-00000129,PROD-000036,5,46.08,1.91
ITEM-000000334,ORD-00000129,PROD-000111,2,8.47,0.56
ITEM-000000335,ORD-00000130,PROD-000002,3,24.12,4.14
ITEM-000000336,ORD-00000130,PROD-000075,2,62.62,6.77
ITEM-000000337,ORD-00000131,PROD-000057,1,202.38,5.33
ITEM-000000338,ORD-00000131,PROD-000184,2,133.98,15.78
ITEM-000000339,ORD-00000132,PROD-000090,3,115.9,1.21
ITEM-000000340,ORD-00000133,PROD-000270,1,159.71,23.82
ITEM-000000341,ORD-00000133,PROD-000244,4,54.61,8.5
ITEM-000000342,ORD-00000133,PROD-000263,5,60.67,1.32
ITEM-000000343,ORD-00000133,PROD-000258,2,173.11,32.73
ITEM-000000344,ORD-00000134,PROD-000267,3,237.37,21.75
ITEM-000000345,ORD-00000135,PROD-000032,4,114.8,19.45
ITEM-000000346,ORD-00000136,PROD-000056,4,207.38,29.55
ITEM-000000347,ORD-00000136,PROD-000228,1,119.68,21.52
ITEM-000000348,ORD-00000136,PROD-000165,5,223.01,6.62
ITEM-000000349,ORD-00000136,PROD-000065,3,11.5,1.44
ITEM-000000350,ORD-00000137,PROD-000196,5,266.04,28.23
ITEM-000000351,ORD-00000137,PROD-000233,5,153.78,18.62
ITEM-000000352,ORD-00000137,PROD-000051,1,151.67,25.87
ITEM-000000353,ORD-00000138,PROD-000221,4,68.23,12.12
ITEM-000000354,ORD-00000138,PROD-000212,3,196.7,32.55
ITEM-000000355,ORD-00000139,PROD-000213,1,151.52,9.47
ITEM-000000356,ORD-00000139,PROD-000161,3,9.57,0.72
ITEM-000000357,ORD-00000139,PROD-000079,4,158.41,2.13
ITEM-000000358,ORD-00000139,PROD-000044,1,31.7,2.74
ITEM-000000359,ORD-00000140,PROD-000067,5,47.96,0.58
ITEM-000000360,ORD-00000140,PROD-000288,5,13.25,0.87
ITEM-000000361,ORD-00000140,PROD-000063,4,42.54,3.01
ITEM-000000362,ORD-00000141,PROD-000027,3,268.28,32.22
ITEM-000000363,ORD-00000141,PROD-000181,1,155.05,17.92
ITEM-000000364,ORD-00000141,PROD-000109,2,82.03,10.77
ITEM-000000365,ORD-00000141,PROD-000115,1,48.49,3.4
ITEM-000000366,ORD-00000142,PROD-000059,3,24.94,2.86
ITEM-000000367,ORD-00000142,PROD-000220,5,23.88,4.65
ITEM-000000368,ORD-00000142,PROD-000286,1,239.45,29.16
ITEM-000000369,ORD-00000143,PROD-000015,2,77.71,4.25
ITEM-000000370,ORD-00000143,PROD-000159,3,115.09,8.08
ITEM-000000371,ORD-00000143,PROD-000093,2,178.93,20.27
ITEM-000000372,ORD-00000144,PROD-000036,2,46.08,6.83
ITEM-000000373,ORD-00000144,PROD-000016,1,56.87,8.49
ITEM-000000374,ORD-00000144,PROD-000111,4,8.47,0.71
ITEM-000000375,ORD-00000144,PROD-000175,2,285.03,21.1
ITEM-000000376,ORD-00000145,PROD-000291,5,181.27,3.08
ITEM-000000377,ORD-00000145,PROD-000027,2,268.28,8.45
ITEM-000000378,ORD-00000145,PROD-000026,1,248.15,13.5
ITEM-000000379,ORD-00000146,PROD-000249,5,45.99,4.07
ITEM-000000380,ORD-00000146,PROD-000140,2,113.52,17.14
ITEM-000000381,ORD-00000146,PROD-000059,3,24.94,2.14
ITEM-000000382,ORD-00000146,PROD-000146,5,200.24,19.49
ITEM-000000383,ORD-00000147,PROD-000024,2,195.99,15.49
ITEM-000000384,ORD-00000147,PROD-000029,1,254.26,10.4
ITEM-000000385,ORD-00000147,PROD-000109,2,82.03,12.54
ITEM-000000386,ORD-00000148,PROD-000168,1,145.2,0.22
ITEM-000000387,ORD-00000148,PROD-000221,2,68.23,1.76
ITEM-000000388,ORD-00000148,PROD-000273,2,164.42,16.45
ITEM-000000389,ORD-00000149,PROD-000037,4,237.13,40.87
ITEM-000000390,ORD-00000149,PROD-000022,4,178.72,0.67
ITEM-000000391,ORD-00000149,PROD-000040,3,52.71,6.07
ITEM-000000392,ORD-00000150,PROD-000214,3,199.19,4.59
ITEM-000000393,ORD-00000150,PROD-000011,3,40.55,1.39
ITEM-000000394,ORD-00000150,PROD-000236,3,24.26,0.43
ITEM-000000395,ORD-00000150,PROD-000055,2,139.15,12.12
ITEM-000000396,ORD-00000151,PROD-000269,1,116.44,9.22
ITEM-000000397,ORD-00000151,PROD-000159,3,115.09,5.1
ITEM-000000398,ORD-00000151,PROD-000087,1,82.01,8.37
ITEM-000000399,ORD-00000151,PROD-000059,5,24.94,2.54
ITEM-000000400,ORD-00000152,PROD-000180,2,175.36,8.29
ITEM-000000401,ORD-00000152,PROD-000075,3,62.62,2.47
ITEM-000000402,ORD-00000152,PROD-000079,1,158.41,5.61
ITEM-000000403,ORD-00000153,PROD-000238,5,67.16,10.21
ITEM-000000404,ORD-00000153,PROD-000230,5,66.97,8.61
ITEM-000000405,ORD-00000153,PROD-000166,3,161.73,4.88
ITEM-000000406,ORD-00000153,PROD-000035,4,17.96,1.59
ITEM-000000407,ORD-00000154,PROD-000141,5,197.96,2.22
ITEM-000000408,ORD-00000154,PROD-000260,1,87.01,5.4
ITEM-000000409,ORD-00000154,PROD-000232,1,124.85,1.42
ITEM-000000410,ORD-00000155,PROD-000040,1,52.71,6.48
