payment_id,order_id,payment_method,payment_status,amount
PAY-00000035,ORD-00000035,CASH,APPROVED,42.8
PAY-00000036,ORD-00000036,CARD,APPROVED,204.6
PAY-00000037,ORD-00000037,CARD,APPROVED,709.39
PAY-00000038,ORD-00000038,CASH,APPROVED,396.48
PAY-00000039,ORD-00000039,TRANSFER,APPROVED,885.99
PAY-00000040,ORD-00000040,CARD,APPROVED,111.7
PAY-00000041,ORD-00000041,CASH,APPROVED,261.51
PAY-00000042,ORD-00000042,CARD,APPROVED,772.53
PAY-00000043,ORD-00000043,WALLET,APPROVED,834.83
PAY-00000044,ORD-00000044,TRANSFER,APPROVED,204.17
PAY-00000045,ORD-00000045,CASH,APPROVED,360.52
PAY-00000046,ORD-00000046,TRANSFER,APPROVED,631.48
PAY-00000047,ORD-00000047,TRANSFER,APPROVED,445.7
PAY-00000048,ORD-00000048,CASH,APPROVED,68.95
PAY-00000049,ORD-00000049,TRANSFER,APPROVED,769.66
PAY-00000050,ORD-00000050,CARD,APPROVED,75.64
PAY-00000051,ORD-00000051,CASH,APPROVED,802.9
PAY-00000052,ORD-00000052,CASH,APPROVED,531.55
PAY-00000053,ORD-00000053,CASH,APPROVED,293.05
PAY-00000054,ORD-00000054,WALLET,APPROVED,837.18
PAY-00000055,ORD-00000055,WALLET,APPROVED,513.25
PAY-00000056,ORD-00000056,TRANSFER,APPROVED,840.93
PAY-00000057,ORD-00000057,CASH,APPROVED,154.61
PAY-00000058,ORD-00000058,TRANSFER,APPROVED,888.7
PAY-00000059,ORD-00000059,CARD,APPROVED,602.1
PAY-00000060,ORD-00000060,CASH,APPROVED,109.73
PAY-00000061,ORD-00000061,CARD,APPROVED,195.18
PAY-00000062,ORD-00000062,TRANSFER,APPROVED,818.72
PAY-00000063,ORD-00000063,WALLET,APPROVED,310.2
PAY-00000064,ORD-00000064,TRANSFER,APPROVED,393.5
PAY-00000065,ORD-00000065,CARD,APPROVED,753.62
PAY-00000066,ORD-00000066,CASH,APPROVED,337.72
PAY-00000067,ORD-00000067,TRANSFER,REFUNDED,0.0
PAY-00000068,ORD-00000068,WALLET,APPROVED,374.64
PAY-00000069,ORD-00000069,WALLET,APPROVED,732.53
PAY-00000070,ORD-00000070,CASH,APPROVED,308.98
PAY-00000071,ORD-00000071,TRANSFER,APPROVED,711.83
PAY-00000072,ORD-00000072,CASH,APPROVED,737.68
PAY-00000073,ORD-00000073,CASH,APPROVED,185.92
PAY-00000074,ORD-00000074,TRANSFER,APPROVED,465.82
PAY-00000075,ORD-00000075,WALLET,APPROVED,39.43
PAY-00000076,ORD-00000076,WALLET,APPROVED,885.44
PAY-00000077,ORD-00000077,TRANSFER,APPROVED,292.6
PAY-00000078,ORD-00000078,CASH,APPROVED,183.22
PAY-00000079,ORD-00000079,CARD,REJECTED,0.0
PAY-00000080,ORD-00000080,CARD,APPROVED,76.93
PAY-00000081,ORD-00000081,CARD,APPROVED,125.29
PAY-00000082,ORD-00000082,CASH,APPROVED,303.67
PAY-00000083,ORD-00000083,CASH,APPROVED,603.46
PAY-00000084,ORD-00000084,WALLET,APPROVED,499.92
PAY-00000085,ORD-00000085,CARD,APPROVED,551.9
PAY-00000086,ORD-00000086,WALLET,APPROVED,717.46
PAY-00000087,ORD-00000087,WALLET,APPROVED,266.15
PAY-00000088,ORD-00000088,WALLET,APPROVED,857.52
PAY-00000089,ORD-00000089,TRANSFER,APPROVED,55.9
PAY-00000090,ORD-00000090,CARD,APPROVED,799.23
PAY-00000091,ORD-00000091,CARD,APPROVED,230.93
PAY-00000092,ORD-00000092,TRANSFER,APPROVED,208.67
PAY-00000093,ORD-00000093,TRANSFER,APPROVED,508.3
PAY-00000094,ORD-00000094,CARD,APPROVED,426.21
PAY-00000095,ORD-00000095,CASH,APPROVED,803.91
PAY-00000096,ORD-00000096,WALLET,APPROVED,499.87
PAY-00000097,ORD-00000097,CARD,APPROVED,680.32
PAY-00000098,ORD-00000098,TRANSFER,APPROVED,226.73
PAY-00000099,ORD-00000099,CASH,APPROVED,297.94
PAY-00000100,ORD-00000100,CARD,APPROVED,150.23
PAY-00000101,ORD-00000101,TRANSFER,APPROVED,382.96
PAY-00000102,ORD-00000102,CASH,REFUNDED,0.0
PAY-00000103,ORD-00000103,CASH,APPROVED,849.33
PAY-00000104,ORD-00000104,TRANSFER,APPROVED,498.33
PAY-00000105,ORD-00000105,CASH,APPROVED,444.79
PAY-00000106,ORD-00000106,CARD,APPROVED,758.85
PAY-00000107,ORD-00000107,TRANSFER,APPROVED,363.71
PAY-00000108,ORD-00000108,WALLET,APPROVED,423.6
PAY-00000109,ORD-00000109,CARD,APPROVED,313.69
PAY-00000110,ORD-00000110,CARD,APPROVED,87.49
PAY-00000111,ORD-00000111,TRANSFER,APPROVED,75.73
PAY-00000112,ORD-00000112,TRANSFER,REFUNDED,0.0
PAY-00000113,ORD-00000113,CASH,APPROVED,116.23
PAY-00000114,ORD-00000114,CARD,APPROVED,163.49
PAY-00000115,ORD-00000115,CASH,APPROVED,159.93
PAY-00000116,ORD-00000116,CARD,APPROVED,818.6
PAY-00000117,ORD-00000117,CARD,APPROVED,626.19
PAY-00000118,ORD-00000118,WALLET,APPROVED,546.36
PAY-00000119,ORD-00000119,CARD,APPROVED,600.45
PAY-00000120,ORD-00000120,CASH,APPROVED,742.76
PAY-00000121,ORD-00000121,CASH,APPROVED,400.41
PAY-00000122,ORD-00000122,WALLET,APPROVED,828.86
PAY-00000123,ORD-00000123,CASH,APPROVED,539.34
PAY-00000124,ORD-00000124,WALLET,APPROVED,230.82
PAY-00000125,ORD-00000125,CASH,APPROVED,452.46
PAY-00000126,ORD-00000126,CASH,APPROVED,316.2
PAY-00000127,ORD-00000127,TRANSFER,APPROVED,472.22
PAY-00000128,ORD-00000128,WALLET,APPROVED,685.98
PAY-00000129,ORD-00000129,TRANSFER,APPROVED,30.26
PAY-00000130,ORD-00000130,WALLET,APPROVED,529.68
PAY-00000131,ORD-00000131,WALLET,REFUNDED,0.0
PAY-00000132,ORD-00000132,CARD,APPROVED,121.78
PAY-00000133,ORD-00000133,CARD,APPROVED,625.79
PAY-00000134,ORD-00000134,TRANSFER,APPROVED,879.3
PAY-00000135,ORD-00000135,CARD,APPROVED,334.38
PAY-00000136,ORD-00000136,CASH,APPROVED,877.25
PAY-00000137,ORD-00000137,CASH,APPROVED,25.85
PAY-00000138,ORD-00000138,CARD,APPROVED,60.47
PAY-00000139,ORD-00000139,CARD,APPROVED,369.63
PAY-00000140,ORD-00000140,CARD,APPROVED,732.86
PAY-00000141,ORD-00000141,CASH,APPROVED,691.53
PAY-00000142,ORD-00000142,CARD,APPROVED,351.63
PAY-00000143,ORD-00000143,TRANSFER,REFUNDED,0.0
PAY-00000144,ORD-00000144,CASH,APPROVED,198.89
PAY-00000145,ORD-00000145,TRANSFER,APPROVED,503.51
PAY-00000146,ORD-00000146,WALLET,APPROVED,219.86
PAY-00000147,ORD-00000147,CASH,APPROVED,221.58
PAY-00000148,ORD-00000148,CASH,APPROVED,841.3
PAY-00000149,ORD-00000149,WALLET,REFUNDED,0.0
PAY-00000150,ORD-00000150,WALLET,APPROVED,403.65
PAY-00000151,ORD-00000151,CASH,REFUNDED,0.0
PAY-00000152,ORD-00000152,WALLET,APPROVED,665.06
PAY-00000153,ORD-00000153,WALLET,APPROVED,754.82
PAY-00000154,ORD-00000154,WALLET,APPROVED,690.35
PAY-00000155,ORD-00000155,CARD,REFUNDED,0.0
PAY-00000156,ORD-00000156,CARD,APPROVED,376.39
PAY-00000157,ORD-00000157,CARD,APPROVED,453.49
PAY-00000158,ORD-00000158,WALLET,APPROVED,92.93
PAY-00000159,ORD-00000159,TRANSFER,APPROVED,16.02
PAY-00000160,ORD-00000160,CARD,APPROVED,473.82
PAY-00000161,ORD-00000161,CASH,APPROVED,195.15
PAY-00000162,ORD-00000162,WALLET,APPROVED,443.97
PAY-00000163,ORD-00000163,CASH,APPROVED,290.01
PAY-00000164,ORD-00000164,TRANSFER,APPROVED,822.94
PAY-00000165,ORD-00000165,WALLET,APPROVED,649.19
PAY-00000166,ORD-00000166,CARD,APPROVED,230.7
PAY-00000167,ORD-00000167,WALLET,APPROVED,135.81
PAY-00000168,ORD-00000168,CARD,REFUNDED,0.0
PAY-00000169,ORD-00000169,CARD,APPROVED,528.23
PAY-00000170,ORD-00000170,CARD,APPROVED,443.64
PAY-00000171,ORD-00000171,CARD,APPROVED,299.77
PAY-00000172,ORD-00000172,CASH,APPROVED,772.57
PAY-00000173,ORD-00000173,CASH,APPROVED,733.1
PAY-00000174,ORD-00000174,WALLET,APPROVED,47.76
PAY-00000175,ORD-00000175,WALLET,APPROVED,404.67
PAY-00000176,ORD-00000176,WALLET,APPROVED,594.48
PAY-00000177,ORD-00000177,CASH,APPROVED,366.77
PAY-00000178,ORD-00000178,WALLET,APPROVED,295.25
PAY-00000179,ORD-00000179,CARD,APPROVED,46.77
PAY-00000180,ORD-00000180,CARD,APPROVED,675.89
PAY-00000181,ORD-00000181,WALLET,APPROVED,629.19
PAY-00000182,ORD-00000182,TRANSFER,APPROVED,274.63
PAY-00000183,ORD-00000183,WALLET,APPROVED,618.39
PAY-00000184,ORD-00000184,TRANSFER,APPROVED,228.13
PAY-00000185,ORD-00000185,WALLET,APPROVED,239.77
PAY-00000186,ORD-00000186,WALLET,APPROVED,154.81
PAY-00000187,ORD-00000187,CASH,APPROVED,390.51
PAY-00000188,ORD-00000188,CASH,APPROVED,770.2
PAY-00000189,ORD-00000189,CARD,APPROVED,893.53
PAY-00000190,ORD-00000190,CARD,APPROVED,515.85
PAY-00000191,ORD-00000191,CARD,REFUNDED,0.0
PAY-00000192,ORD-00000192,CARD,APPROVED,218.65
PAY-00000193,ORD-00000193,WALLET,APPROVED,614.82
PAY-00000194,ORD-00000194,CASH,APPROVED,814.51
PAY-00000195,ORD-00000195,CARD,APPROVED,663.14
PAY-00000196,ORD-00000196,CARD,APPROVED,131.96
PAY-00000197,ORD-00000197,CASH,APPROVED,256.19
PAY-00000198,ORD-00000198,CARD,APPROVED,314.76
PAY-00000199,ORD-00000199,CARD,APPROVED,214.67
PAY-00000200,ORD-00000200,CASH,REJECTED,0.0
PAY-00000201,ORD-00000201,WALLET,APPROVED,124.38
PAY-00000202,ORD-00000202,CARD,APPROVED,742.84
PAY-00000203,ORD-00000203,CASH,APPROVED,563.3
PAY-00000204,ORD-00000204,CARD,APPROVED,577.33
PAY-00000205,ORD-00000205,CARD,APPROVED,55.13
PAY-00000206,ORD-00000206,WALLET,APPROVED,490.73
PAY-00000207,ORD-00000207,TRANSFER,APPROVED,671.91
PAY-00000208,ORD-00000208,TRANSFER,APPROVED,559.85
PAY-00000209,ORD-00000209,CASH,APPROVED,207.28
PAY-00000210,ORD-00000210,TRANSFER,REJECTED,0.0
PAY-00000211,ORD-00000211,CASH,APPROVED,259.16
PAY-00000212,ORD-00000212,TRANSFER,APPROVED,202.71
PAY-00000213,ORD-00000213,WALLET,APPROVED,230.56
PAY-00000214,ORD-00000214,CASH,APPROVED,505.47
PAY-00000215,ORD-00000215,TRANSFER,APPROVED,712.95
PAY-00000216,ORD-00000216,WALLET,APPROVED,721.68
PAY-00000217,ORD-00000217,TRANSFER,APPROVED,714.14
PAY-00000218,ORD-00000218,CARD,APPROVED,127.18
PAY-00000219,ORD-00000219,CARD,APPROVED,703.55
PAY-00000220,ORD-00000220,WALLET,APPROVED,559.37
PAY-00000221,ORD-00000221,CARD,APPROVED,584.36
PAY-00000222,ORD-00000222,CARD,APPROVED,448.89
PAY-00000223,ORD-00000223,CASH,APPROVED,146.28
PAY-00000224,ORD-00000224,TRANSFER,APPROVED,302.79
PAY-00000225,ORD-00000225,CASH,APPROVED,550.8
PAY-00000226,ORD-00000226,TRANSFER,APPROVED,205.3
PAY-00000227,ORD-00000227,CARD,APPROVED,367.88
PAY-00000228,ORD-00000228,CASH,APPROVED,240.58
PAY-00000229,ORD-00000229,TRANSFER,APPROVED,751.12
PAY-00000230,ORD-00000230,TRANSFER,APPROVED,507.39
PAY-00000231,ORD-00000231,CASH,APPROVED,378.57
PAY-00000232,ORD-00000232,WALLET,APPROVED,653.14
PAY-00000233,ORD-00000233,TRANSFER,APPROVED,526.46
PAY-00000234,ORD-00000234,CARD,APPROVED,324.85
PAY-00000235,ORD-00000235,TRANSFER,APPROVED,394.76
PAY-00000236,ORD-00000236,CARD,APPROVED,837.24
PAY-00000237,ORD-00000237,CASH,APPROVED,636.89
PAY-00000238,ORD-00000238,TRANSFER,APPROVED,141.78
PAY-00000239,ORD-00000239,CARD,APPROVED,875.05
PAY-00000240,ORD-00000240,CARD,APPROVED,316.69
PAY-00000241,ORD-00000241,CASH,APPROVED,796.76
PAY-00000242,ORD-00000242,TRANSFER,APPROVED,255.81
PAY-00000243,ORD-00000243,TRANSFER,APPROVED,205.78
PAY-00000244,ORD-00000244,CASH,APPROVED,615.46
PAY-00000245,ORD-00000245,TRANSFER,APPROVED,886.23
PAY-00000246,ORD-00000246,CASH,APPROVED,691.28
PAY-00000247,ORD-00000247,TRANSFER,APPROVED,170.49
PAY-00000248,ORD-00000248,WALLET,APPROVED,606.22
PAY-00000249,ORD-00000249,TRANSFER,APPROVED,421.88
PAY-00000250,ORD-00000250,CARD,APPROVED,642.91
PAY-00000251,ORD-00000251,WALLET,APPROVED,167.11
PAY-00000252,ORD-00000252,TRANSFER,APPROVED,762.37
PAY-00000253,ORD-00000253,CARD,APPROVED,785.41
PAY-00000254,ORD-00000254,CARD,APPROVED,82.6
PAY-00000255,ORD-00000255,CASH,APPROVED,324.2
PAY-00000256,ORD-00000256,TRANSFER,APPROVED,144.6
PAY-00000257,ORD-00000257,CASH,APPROVED,698.97
PAY-00000258,ORD-00000258,WALLET,APPROVED,832.88
PAY-00000259,ORD-00000259,WALLET,APPROVED,570.09
PAY-00000260,ORD-00000260,CARD,APPROVED,719.75
PAY-00000261,ORD-00000261,CARD,APPROVED,414.94
PAY-00000262,ORD-00000262,CARD,APPROVED,879.97
PAY-00000263,ORD-00000263,CASH,APPROVED,505.57
PAY-00000264,ORD-00000264,CARD,APPROVED,731.69
PAY-00000265,ORD-00000265,TRANSFER,APPROVED,862.58
PAY-00000266,ORD-00000266,CASH,APPROVED,167.71
PAY-00000267,ORD-00000267,WALLET,APPROVED,155.49
PAY-00000268,ORD-00000268,CASH,APPROVED,615.82
PAY-00000269,ORD-00000269,CARD,APPROVED,98.64
PAY-00000270,ORD-00000270,TRANSFER,APPROVED,596.06
PAY-00000271,ORD-00000271,TRANSFER,APPROVED,530.72
PAY-00000272,ORD-00000272,CARD,APPROVED,642.32
PAY-00000273,ORD-00000273,TRANSFER,APPROVED,608.05
PAY-00000274,ORD-00000274,CASH,APPROVED,608.35
PAY-00000275,ORD-00000275,CASH,APPROVED,204.56
PAY-00000276,ORD-00000276,CARD,APPROVED,136.75
PAY-00000277,ORD-00000277,TRANSFER,APPROVED,754.08
PAY-00000278,ORD-00000278,WALLET,APPROVED,561.96
PAY-00000279,ORD-00000279,CASH,APPROVED,697.42
PAY-00000280,ORD-00000280,CASH,APPROVED,337.4
PAY-00000281,ORD-00000281,CASH,APPROVED,680.87
PAY-00000282,ORD-00000282,CASH,APPROVED,869.55
PAY-00000283,ORD-00000283,WALLET,APPROVED,853.21
PAY-00000284,ORD-00000284,CARD,APPROVED,460.07
PAY-00000285,ORD-00000285,CASH,APPROVED,61.18
PAY-00000286,ORD-00000286,TRANSFER,APPROVED,471.58
PAY-00000287,ORD-00000287,WALLET,APPROVED,469.32
PAY-00000288,ORD-00000288,CASH,APPROVED,797.9
PAY-00000289,ORD-00000289,TRANSFER,APPROVED,345.96
PAY-00000290,ORD-00000290,CASH,APPROVED,838.78
PAY-00000291,ORD-00000291,CARD,APPROVED,136.78
PAY-00000292,ORD-00000292,WALLET,APPROVED,430.16
PAY-00000293,ORD-00000293,CARD,APPROVED,753.94
PAY-00000294,ORD-00000294,WALLET,APPROVED,701.91
PAY-00000295,ORD-00000295,CASH,APPROVED,717.6
PAY-00000296,ORD-00000296,CASH,APPROVED,471.11
PAY-00000297,ORD-00000297,WALLET,APPROVED,327.24
PAY-00000298,ORD-00000298,TRANSFER,APPROVED,334.13
PAY-00000299,ORD-00000299,TRANSFER,APPROVED,464.25
PAY-00000300,ORD-00000300,CASH,APPROVED,883.22
PAY-00000301,ORD-00000301,CASH,APPROVED,663.65
PAY-00000302,ORD-00000302,CARD,APPROVED,326.78
PAY-00000303,ORD-00000303,WALLET,REJECTED,0.0
PAY-00000304,ORD-00000304,TRANSFER,APPROVED,193.41
PAY-00000305,ORD-00000305,TRANSFER,APPROVED,289.42
PAY-00000306,ORD-00000306,CARD,APPROVED,681.66
PAY-00000307,ORD-00000307,TRANSFER,APPROVED,722.42
PAY-00000308,ORD-00000308,WALLET,APPROVED,357.18
PAY-00000309,ORD-00000309,TRANSFER,APPROVED,720.6
PAY-00000310,ORD-00000310,CARD,APPROVED,548.17
PAY-00000311,ORD-00000311,CARD,APPROVED,85.86
PAY-00000312,ORD-00000312,TRANSFER,APPROVED,392.11
PAY-00000313,ORD-00000313,CASH,APPROVED,784.98
PAY-00000314,ORD-00000314,TRANSFER,APPROVED,579.2
PAY-00000315,ORD-00000315,WALLET,APPROVED,141.36
PAY-00000316,ORD-00000316,TRANSFER,APPROVED,223.86
PAY-00000317,ORD-00000317,TRANSFER,APPROVED,150.79
PAY-00000318,ORD-00000318,WALLET,APPROVED,522.92
PAY-00000319,ORD-00000319,CARD,APPROVED,115.4
PAY-00000320,ORD-00000320,WALLET,APPROVED,512.08
PAY-00000321,ORD-00000321,CASH,APPROVED,556.51
PAY-00000322,ORD-00000322,TRANSFER,APPROVED,769.75
PAY-00000323,ORD-00000323,WALLET,APPROVED,732.3
PAY-00000324,ORD-00000324,CARD,APPROVED,501.75
PAY-00000325,ORD-00000325,CASH,APPROVED,465.25
PAY-00000326,ORD-00000326,TRANSFER,APPROVED,38.26
PAY-00000327,ORD-00000327,WALLET,APPROVED,797.56
PAY-00000328,ORD-00000328,CARD,APPROVED,695.71
PAY-00000329,ORD-00000329,TRANSFER,REFUNDED,0.0
PAY-00000330,ORD-00000330,TRANSFER,APPROVED,748.71
PAY-00000331,ORD-00000331,CARD,APPROVED,820.98
PAY-00000332,ORD-00000332,TRANSFER,APPROVED,158.34
PAY-00000333,ORD-00000333,WALLET,REJECTED,0.0
PAY-00000334,ORD-00000334,TRANSFER,APPROVED,502.49
PAY-00000335,ORD-00000335,WALLET,APPROVED,582.27
PAY-00000336,ORD-00000336,TRANSFER,APPROVED,652.76
PAY-00000337,ORD-00000337,CASH,APPROVED,40.11
PAY-00000338,ORD-00000338,CASH,APPROVED,693.76
PAY-00000339,ORD-00000339,WALLET,APPROVED,497.84
PAY-00000340,ORD-00000340,CASH,APPROVED,621.22
PAY-00000341,ORD-00000341,TRANSFER,APPROVED,382.83
PAY-00000342,ORD-00000342,WALLET,APPROVED,650.75
PAY-00000343,ORD-00000343,CARD,REJECTED,0.0
PAY-00000344,ORD-00000344,TRANSFER,APPROVED,123.43
PAY-00000345,ORD-00000345,TRANSFER,APPROVED,354.97
PAY-00000346,ORD-00000346,TRANSFER,APPROVED,653.2
PAY-00000347,ORD-00000347,WALLET,APPROVED,792.98
PAY-00000348,ORD-00000348,WALLET,APPROVED,228.04
PAY-00000349,ORD-00000349,WALLET,APPROVED,795.87
PAY-00000350,ORD-00000350,CASH,APPROVED,764.75
PAY-00000351,ORD-00000351,WALLET,APPROVED,338.85
PAY-00000352,ORD-00000352,CASH,APPROVED,270.41
PAY-00000353,ORD-00000353,CARD,APPROVED,566.57
PAY-00000354,ORD-00000354,TRANSFER,APPROVED,888.31
PAY-00000355,ORD-00000355,TRANSFER,APPROVED,370.23
PAY-00000356,ORD-00000356,CARD,APPROVED,474.61
PAY-00000357,ORD-00000357,CASH,APPROVED,557.57
PAY-00000358,ORD-00000358,TRANSFER,APPROVED,463.97
PAY-00000359,ORD-00000359,CASH,APPROVED,736.94
PAY-00000360,ORD-00000360,CASH,APPROVED,720.13
PAY-00000361,ORD-00000361,CASH,APPROVED,249.99
PAY-00000362,ORD-00000362,CARD,APPROVED,653.44
PAY-00000363,ORD-00000363,CARD,APPROVED,617.44
PAY-00000364,ORD-00000364,CASH,APPROVED,405.32
PAY-00000365,ORD-00000365,WALLET,APPROVED,700.85
PAY-00000366,ORD-00000366,CARD,APPROVED,474.03
PAY-00000367,ORD-00000367,WALLET,APPROVED,861.67
PAY-00000368,ORD-00000368,WALLET,APPROVED,698.21
PAY-00000369,ORD-00000369,CASH,APPROVED,185.15
PAY-00000370,ORD-00000370,WALLET,REFUNDED,0.0
PAY-00000371,ORD-00000371,WALLET,APPROVED,447.77
PAY-00000372,ORD-00000372,WALLET,APPROVED,522.53
PAY-00000373,ORD-00000373,CARD,APPROVED,727.09
PAY-00000374,ORD-00000374,CARD,APPROVED,406.5
PAY-00000375,ORD-00000375,WALLET,APPROVED,254.95
PAY-00000376,ORD-00000376,CASH,APPROVED,534.34
PAY-00000377,ORD-00000377,CASH,APPROVED,61.45
PAY-00000378,ORD-00000378,WALLET,APPROVED,136.66
PAY-00000379,ORD-00000379,CARD,APPROVED,842.5
PAY-00000380,ORD-00000380,CASH,APPROVED,269.21
PAY-00000381,ORD-00000381,CARD,APPROVED,668.74
PAY-00000382,ORD-00000382,WALLET,APPROVED,756.28
PAY-00000383,ORD-00000383,CASH,APPROVED,179.89
PAY-00000384,ORD-00000384,WALLET,APPROVED,23.2
PAY-00000385,ORD-00000385,TRANSFER,APPROVED,582.56
PAY-00000386,ORD-00000386,WALLET,APPROVED,185.64
PAY-00000387,ORD-00000387,WALLET,APPROVED,650.96
PAY-00000388,ORD-00000388,WALLET,APPROVED,185.95
PAY-00000389,ORD-00000389,CASH,APPROVED,91.76
PAY-00000390,ORD-00000390,WALLET,APPROVED,843.21
PAY-00000391,ORD-00000391,WALLET,APPROVED,859.32
PAY-00000392,ORD-00000392,TRANSFER,APPROVED,333.2
PAY-00000393,ORD-00000393,CASH,APPROVED,373.79
PAY-00000394,ORD-00000394,TRANSFER,APPROVED,580.26
PAY-00000395,ORD-00000395,WALLET,APPROVED,133.21
PAY-00000396,ORD-00000396,CASH,APPROVED,501.07
PAY-00000397,ORD-00000397,TRANSFER,APPROVED,617.1
PAY-00000398,ORD-00000398,WALLET,APPROVED,637.83
PAY-00000399,ORD-00000399,CARD,APPROVED,814.06
PAY-00000400,ORD-00000400,TRANSFER,APPROVED,475.5
PAY-00000401,ORD-00000401,CASH,APPROVED,810.52
PAY-00000402,ORD-00000402,TRANSFER,APPROVED,419.27
PAY-00000403,ORD-00000403,TRANSFER,APPROVED,365.41
PAY-00000404,ORD-00000404,TRANSFER,APPROVED,55.08
PAY-00000405,ORD-00000405,CARD,REFUNDED,0.0
PAY-00000406,ORD-00000406,CASH,APPROVED,695.54
PAY-00000407,ORD-00000407,CASH,APPROVED,803.83
PAY-00000408,ORD-00000408,CASH,APPROVED,868.27
PAY-00000409,ORD-00000409,WALLET,APPROVED,893.67
PAY-00000410,ORD-00000410,CASH,APPROVED,684.22
PAY-00000411,ORD-00000411,CASH,APPROVED,350.66
PAY-00000412,ORD-00000412,CARD,APPROVED,844.61
PAY-00000413,ORD-00000413,WALLET,APPROVED,386.03
PAY-00000414,ORD-00000414,WALLET,APPROVED,74.55
PAY-00000415,ORD-00000415,TRANSFER,APPROVED,54.15
PAY-00000416,ORD-00000416,WALLET,APPROVED,894.23
PAY-00000417,ORD-00000417,WALLET,APPROVED,544.16
PAY-00000418,ORD-00000418,CARD,APPROVED,141.79
PAY-00000419,ORD-00000419,CASH,APPROVED,68.95
PAY-00000420,ORD-00000420,WALLET,APPROVED,393.07
PAY-00000421,ORD-00000421,WALLET,APPROVED,297.08
PAY-00000422,ORD-00000422,CARD,APPROVED,491.07
PAY-00000423,ORD-00000423,WALLET,APPROVED,824.55
PAY-00000424,ORD-00000424,WALLET,APPROVED,358.75
PAY-00000425,ORD-00000425,TRANSFER,APPROVED,764.71
PAY-00000426,ORD-00000426,TRANSFER,APPROVED,611.2
PAY-00000427,ORD-00000427,WALLET,APPROVED,535.01
PAY-00000428,ORD-00000428,WALLET,APPROVED,817.72
PAY-00000429,ORD-00000429,CASH,REJECTED,0.0
PAY-00000430,ORD-00000430,WALLET,APPROVED,637.84
PAY-00000431,ORD-00000431,CASH,APPROVED,351.89
PAY-00000432,ORD-00000432,TRANSFER,APPROVED,796.29
PAY-00000433,ORD-00000433,WALLET,APPROVED,298.41
PAY-00000434,ORD-00000434,WALLET,APPROVED,210.83
PAY-00000435,ORD-00000435,CARD,APPROVED,384.56
PAY-00000436,ORD-00000436,WALLET,APPROVED,232.47
PAY-00000437,ORD-00000437,TRANSFER,APPROVED,742.11
PAY-00000438,ORD-00000438,WALLET,APPROVED,663.5
PAY-00000439,ORD-00000439,CASH,APPROVED,826.46
PAY-00000440,ORD-00000440,WALLET,APPROVED,764.33
PAY-00000441,ORD-00000441,CASH,APPROVED,379.97
PAY-00000442,ORD-00000442,CARD,APPROVED,23.09
PAY-00000443,ORD-00000443,WALLET,APPROVED,28.92
PAY-00000444,ORD-00000444,CARD,APPROVED,258.15
PAY-00000445,ORD-00000445,CARD,APPROVED,611.52
PAY-00000446,ORD-00000446,WALLET,APPROVED,100.24
PAY-00000447,ORD-00000447,CASH,APPROVED,328.68
PAY-00000448,ORD-00000448,CASH,REFUNDED,0.0
PAY-00000449,ORD-00000449,CARD,APPROVED,765.36
PAY-00000450,ORD-00000450,TRANSFER,APPROVED,350.65
