order_id,customer_id,store_id,order_date,channel,status,total_amount
ORD-00000026,CUST-000383,STORE-0003,2026-07-07,STORE,RETURNED,831.35
ORD-00000027,CUST-000614,,2025-11-28,ECOMMERCE,COMPLETED,114.0
ORD-00000028,CUST-000852,STORE-0005,2025-09-03,STORE,COMPLETED,792.04
ORD-00000029,CUST-000088,,2026-05-13,ECOMMERCE,COMPLETED,880.52
ORD-00000030,CUST-000129,STORE-0003,2026-05-02,STORE,RETURNED,161.14
ORD-00000031,CUST-000622,STORE-0007,2025-08-05,STORE,RETURNED,683.41
ORD-00000032,CUST-000731,,2025-11-16,ECOMMERCE,COMPLETED,609.44
ORD-00000033,CUST-000922,STORE-0009,2026-04-08,STORE,COMPLETED,213.86
ORD-00000034,CUST-000603,STORE-0009,2025-08-24,STORE,COMPLETED,21.36
ORD-00000035,CUST-000061,,2025-08-23,ECOMMERCE,COMPLETED,42.8
ORD-00000036,CUST-000527,STORE-0004,2025-10-13,STORE,COMPLETED,204.6
ORD-00000037,CUST-000958,STORE-0010,2026-08-14,STORE,COMPLETED,709.39
ORD-00000038,CUST-000195,,2025-04-07,ECOMMERCE,COMPLETED,396.48
ORD-00000039,CUST-000479,STORE-0012,2025-02-25,STORE,COMPLETED,885.99
ORD-00000040,CUST-000413,STORE-0012,2025-12-14,STORE,COMPLETED,111.7
ORD-00000041,CUST-000550,STORE-0008,2025-05-24,STORE,COMPLETED,261.51
ORD-00000042,CUST-000946,STORE-0002,2026-03-30,STORE,COMPLETED,772.53
ORD-00000043,CUST-000668,STORE-0009,2025-01-16,STORE,RETURNED,834.83
ORD-00000044,CUST-000171,,2026-02-21,ECOMMERCE,COMPLETED,204.17
ORD-00000045,CUST-000061,STORE-0003,2026-01-24,STORE,COMPLETED,360.52
ORD-00000046,CUST-000804,,2026-04-11,ECOMMERCE,COMPLETED,631.48
ORD-00000047,CUST-000803,,2026-07-24,ECOMMERCE,COMPLETED,445.7
ORD-00000048,CUST-000223,STORE-0001,2026-08-17,STORE,COMPLETED,68.95
ORD-00000049,CUST-000052,STORE-0010,2026-05-04,STORE,COMPLETED,769.66
ORD-00000050,CUST-000984,STORE-0009,2025-03-24,STORE,COMPLETED,75.64
ORD-00000051,CUST-000883,STORE-0004,2026-02-18,STORE,COMPLETED,802.9
ORD-00000052,CUST-000609,STORE-0001,2025-03-25,STORE,COMPLETED,531.55
ORD-00000053,CUST-000958,STORE-0005,2025-07-29,STORE,COMPLETED,293.05
ORD-00000054,CUST-000135,STORE-0011,2025-11-04,STORE,COMPLETED,837.18
ORD-00000055,CUST-000010,,2026-04-15,ECOMMERCE,COMPLETED,513.25
ORD-00000056,CUST-000551,STORE-0004,2026-06-03,STORE,COMPLETED,840.93
ORD-00000057,CUST-000901,,2025-09-08,ECOMMERCE,COMPLETED,154.61
ORD-00000058,CUST-000721,,2025-11-06,ECOMMERCE,COMPLETED,888.7
ORD-00000059,CUST-000009,,2026-07-22,ECOMMERCE,COMPLETED,602.1
ORD-00000060,CUST-000138,,2025-09-28,ECOMMERCE,COMPLETED,109.73
ORD-00000061,CUST-000279,STORE-0005,2025-08-04,STORE,COMPLETED,195.18
ORD-00000062,CUST-000271,STORE-0009,2026-05-16,STORE,COMPLETED,818.72
ORD-00000063,CUST-000650,STORE-0007,2025-10-11,STORE,COMPLETED,310.2
ORD-00000064,CUST-000269,STORE-0003,2026-03-29,STORE,COMPLETED,393.5
ORD-00000065,CUST-000078,STORE-0012,2025-06-02,STORE,COMPLETED,753.62
ORD-00000066,CUST-000152,STORE-0007,2025-05-11,STORE,COMPLETED,337.72
ORD-00000067,CUST-000996,,2025-02-10,ECOMMERCE,CANCELLED,200.92
ORD-00000068,CUST-000106,STORE-0006,2026-07-28,STORE,CANCELLED,374.64
ORD-00000069,CUST-000159,STORE-0004,2025-06-16,STORE,RETURNED,732.53
ORD-00000070,CUST-000026,,2025-07-03,ECOMMERCE,COMPLETED,308.98
ORD-00000071,CUST-000822,,2025-09-12,ECOMMERCE,COMPLETED,711.83
ORD-00000072,CUST-000894,STORE-0001,2026-04-27,STORE,COMPLETED,737.68
ORD-00000073,CUST-000313,STORE-0004,2025-08-17,STORE,COMPLETED,185.92
ORD-00000074,CUST-000886,STORE-0002,2025-10-13,STORE,COMPLETED,465.82
ORD-00000075,CUST-000864,,2026-07-04,ECOMMERCE,COMPLETED,39.43
ORD-00000076,CUST-000268,,2025-07-02,ECOMMERCE,COMPLETED,885.44
ORD-00000077,CUST-000611,STORE-0007,2025-12-20,STORE,COMPLETED,292.6
ORD-00000078,CUST-000524,STORE-0002,2026-01-30,STORE,CANCELLED,183.22
ORD-00000079,CUST-000447,STORE-0001,2026-06-17,STORE,RETURNED,491.53
ORD-00000080,CUST-000760,,2025-07-21,ECOMMERCE,COMPLETED,76.93
ORD-00000081,CUST-000339,,2025-11-18,ECOMMERCE,COMPLETED,125.29
ORD-00000082,CUST-000520,,2025-11-13,ECOMMERCE,COMPLETED,303.67
ORD-00000083,CUST-000568,,2025-05-11,ECOMMERCE,COMPLETED,603.46
ORD-00000084,CUST-000767,STORE-0003,2026-08-06,STORE,COMPLETED,499.92
ORD-00000085,CUST-000294,STORE-0004,2026-03-17,STORE,COMPLETED,551.9
ORD-00000086,CUST-000453,STORE-0008,2025-08-07,STORE,COMPLETED,717.46
ORD-00000087,CUST-000754,,2025-06-23,ECOMMERCE,COMPLETED,266.15
ORD-00000088,CUST-000635,,2025-12-10,ECOMMERCE,COMPLETED,857.52
ORD-00000089,CUST-000318,STORE-0004,2025-07-23,STORE,COMPLETED,55.9
ORD-00000090,CUST-000626,,2025-03-16,ECOMMERCE,COMPLETED,799.23
ORD-00000091,CUST-000736,STORE-0012,2026-01-29,STORE,COMPLETED,230.93
ORD-00000092,CUST-000006,,2025-04-20,ECOMMERCE,COMPLETED,208.67
ORD-00000093,CUST-000713,,2026-06-15,ECOMMERCE,COMPLETED,508.3
ORD-00000094,CUST-000125,,2026-04-13,ECOMMERCE,COMPLETED,426.21
ORD-00000095,CUST-000573,STORE-0010,2025-11-21,STORE,RETURNED,803.91
ORD-00000096,CUST-000737,STORE-0009,2026-03-13,STORE,COMPLETED,499.87
ORD-00000097,CUST-000762,,2026-05-02,ECOMMERCE,COMPLETED,680.32
ORD-00000098,CUST-000284,,2026-06-18,ECOMMERCE,COMPLETED,226.73
ORD-00000099,CUST-000731,STORE-0005,2025-08-29,STORE,COMPLETED,297.94
ORD-00000100,CUST-000142,STORE-0003,2025-08-25,STORE,COMPLETED,150.23
ORD-00000101,CUST-000425,STORE-0007,2025-12-05,STORE,COMPLETED,382.96
ORD-00000102,CUST-000431,STORE-0007,2026-08-22,STORE,RETURNED,32.29
ORD-00000103,CUST-000590,,2026-01-25,ECOMMERCE,COMPLETED,849.33
ORD-00000104,CUST-000400,STORE-0007,2026-07-06,STORE,COMPLETED,498.33
ORD-00000105,CUST-000226,STORE-0008,2025-08-13,STORE,COMPLETED,444.79
ORD-00000106,CUST-000685,STORE-0011,2026-02-19,STORE,COMPLETED,758.85
ORD-00000107,CUST-000638,,2026-07-01,ECOMMERCE,COMPLETED,363.71
ORD-00000108,CUST-000028,STORE-0002,2026-03-15,STORE,COMPLETED,423.6
ORD-00000109,CUST-000389,STORE-0006,2025-08-05,STORE,COMPLETED,313.69
ORD-00000110,CUST-000285,,2026-03-08,ECOMMERCE,COMPLETED,87.49
ORD-00000111,CUST-000553,STORE-0001,2025-12-25,STORE,COMPLETED,75.73
ORD-00000112,CUST-000042,,2025-02-01,ECOMMERCE,RETURNED,191.43
ORD-00000113,CUST-000157,STORE-0004,2025-05-10,STORE,COMPLETED,116.23
ORD-00000114,CUST-000477,,2025-09-20,ECOMMERCE,COMPLETED,163.49
ORD-00000115,CUST-000766,STORE-0012,2025-04-28,STORE,COMPLETED,159.93
ORD-00000116,CUST-000593,STORE-0001,2025-11-16,STORE,COMPLETED,818.6
ORD-00000117,CUST-000965,STORE-0012,2025-07-23,STORE,COMPLETED,626.19
ORD-00000118,CUST-000105,STORE-0012,2025-11-05,STORE,COMPLETED,546.36
ORD-00000119,CUST-000580,STORE-0001,2025-12-22,STORE,COMPLETED,600.45
ORD-00000120,CUST-000664,STORE-0006,2025-01-13,STORE,COMPLETED,742.76
ORD-00000121,CUST-000984,STORE-0006,2026-04-16,STORE,COMPLETED,400.41
ORD-00000122,CUST-000989,,2025-10-04,ECOMMERCE,COMPLETED,828.86
ORD-00000123,CUST-000477,,2026-03-23,ECOMMERCE,COMPLETED,539.34
ORD-00000124,CUST-000252,STORE-0002,2025-10-13,STORE,CANCELLED,230.82
ORD-00000125,CUST-000625,STORE-0011,2026-01-24,STORE,COMPLETED,452.46
ORD-00000126,CUST-000500,STORE-0004,2025-12-30,STORE,COMPLETED,316.2
ORD-00000127,CUST-000719,,2025-10-10,ECOMMERCE,COMPLETED,472.22
ORD-00000128,CUST-000248,STORE-0012,2026-02-21,STORE,COMPLETED,685.98
ORD-00000129,CUST-000662,,2026-05-18,ECOMMERCE,COMPLETED,30.26
ORD-00000130,CUST-000415,STORE-0012,2025-09-07,STORE,COMPLETED,529.68
ORD-00000131,CUST-000544,STORE-0006,2026-03-12,STORE,PENDING,502.09
ORD-00000132,CUST-000465,STORE-0005,2025-11-10,STORE,COMPLETED,121.78
ORD-00000133,CUST-000123,STORE-0012,2026-07-03,STORE,RETURNED,625.79
ORD-00000134,CUST-000757,STORE-0008,2025-10-11,STORE,COMPLETED,879.3
ORD-00000135,CUST-000290,STORE-0002,2025-07-18,STORE,COMPLETED,334.38
ORD-00000136,CUST-000726,STORE-0009,2025-05-10,STORE,COMPLETED,877.25
ORD-00000137,CUST-000715,STORE-0003,2026-05-18,STORE,COMPLETED,25.85
ORD-00000138,CUST-000491,STORE-0008,2025-12-15,STORE,COMPLETED,60.47
ORD-00000139,CUST-000490,,2025-04-27,ECOMMERCE,COMPLETED,369.63
ORD-00000140,CUST-000645,STORE-0011,2025-02-24,STORE,COMPLETED,732.86
ORD-00000141,CUST-000088,,2025-09-12,ECOMMERCE,COMPLETED,691.53
ORD-00000142,CUST-000810,STORE-0010,2025-08-20,STORE,COMPLETED,351.63
ORD-00000143,CUST-000305,,2026-08-26,ECOMMERCE,PENDING,285.26
ORD-00000144,CUST-000625,STORE-0012,2025-04-12,STORE,RETURNED,198.89
ORD-00000145,CUST-000677,STORE-0002,2025-06-10,STORE,COMPLETED,503.51
ORD-00000146,CUST-000419,STORE-0008,2026-04-27,STORE,COMPLETED,219.86
ORD-00000147,CUST-000720,,2026-04-10,ECOMMERCE,COMPLETED,221.58
ORD-00000148,CUST-000811,STORE-0011,2026-08-27,STORE,COMPLETED,841.3
ORD-00000149,CUST-000558,STORE-0004,2025-06-02,STORE,CANCELLED,746.57
ORD-00000150,CUST-000170,STORE-0005,2026-08-06,STORE,RETURNED,403.65
ORD-00000151,CUST-000312,STORE-0012,2026-02-17,STORE,RETURNED,457.92
ORD-00000152,CUST-000083,STORE-0010,2025-02-10,STORE,CANCELLED,665.06
ORD-00000153,CUST-000027,STORE-0002,2025-08-23,STORE,RETURNED,754.82
ORD-00000154,CUST-000974,STORE-0001,2025-10-03,STORE,COMPLETED,690.35
ORD-00000155,CUST-000532,STORE-0011,2026-03-29,STORE,CANCELLED,175.62
ORD-00000156,CUST-000651,STORE-0008,2025-04-04,STORE,COMPLETED,376.39
ORD-00000157,CUST-000108,STORE-0003,2025-12-04,STORE,COMPLETED,453.49
ORD-00000158,CUST-000411,,2026-07-18,ECOMMERCE,COMPLETED,92.93
ORD-00000159,CUST-000119,STORE-0007,2026-06-11,STORE,COMPLETED,16.02
ORD-00000160,CUST-000474,,2026-02-28,ECOMMERCE,COMPLETED,473.82
ORD-00000161,CUST-000511,STORE-0011,2026-03-29,STORE,COMPLETED,195.15
ORD-00000162,CUST-000950,STORE-0005,2026-03-25,STORE,CANCELLED,443.97
ORD-00000163,CUST-000646,STORE-0010,2025-09-03,STORE,COMPLETED,290.01
ORD-00000164,CUST-000418,STORE-0002,2025-08-19,STORE,PENDING,822.94
ORD-00000165,CUST-000121,STORE-0011,2025-06-07,STORE,COMPLETED,649.19
ORD-00000166,CUST-000280,STORE-0007,2026-05-10,STORE,PENDING,230.7
ORD-00000167,CUST-000393,STORE-0004,2026-06-05,STORE,COMPLETED,135.81
ORD-00000168,CUST-000792,STORE-0007,2025-12-15,STORE,RETURNED,464.35
ORD-00000169,CUST-000290,,2025-11-02,ECOMMERCE,COMPLETED,528.23
ORD-00000170,CUST-000887,,2025-06-02,ECOMMERCE,COMPLETED,443.64
ORD-00000171,CUST-000782,STORE-0009,2026-01-22,STORE,COMPLETED,299.77
ORD-00000172,CUST-000715,STORE-0004,2026-08-09,STORE,COMPLETED,772.57
ORD-00000173,CUST-000326,STORE-0012,2026-04-30,STORE,COMPLETED,733.1
ORD-00000174,CUST-000680,STORE-0011,2025-06-05,STORE,COMPLETED,47.76
ORD-00000175,CUST-000605,STORE-0006,2025-04-13,STORE,COMPLETED,404.67
ORD-00000176,CUST-000468,STORE-0001,2025-05-28,STORE,COMPLETED,594.48
ORD-00000177,CUST-000481,STORE-0005,2025-12-13,STORE,COMPLETED,366.77
ORD-00000178,CUST-000337,STORE-0011,2026-07-01,STORE,COMPLETED,295.25
ORD-00000179,CUST-000778,,2026-05-15,ECOMMERCE,COMPLETED,46.77
ORD-00000180,CUST-000647,STORE-0011,2025-10-22,STORE,PENDING,675.89
ORD-00000181,CUST-000101,STORE-0011,2025-04-13,STORE,COMPLETED,629.19
ORD-00000182,CUST-000048,,2025-11-29,ECOMMERCE,COMPLETED,274.63
ORD-00000183,CUST-000150,STORE-0004,2026-06-28,STORE,COMPLETED,618.39
ORD-00000184,CUST-000180,STORE-0002,2026-01-27,STORE,COMPLETED,228.13
ORD-00000185,CUST-000147,,2025-08-26,ECOMMERCE,COMPLETED,239.77
ORD-00000186,CUST-000010,STORE-0008,2025-10-22,STORE,COMPLETED,154.81
ORD-00000187,CUST-000354,STORE-0010,2025-11-03,STORE,COMPLETED,390.51
ORD-00000188,CUST-000866,STORE-0005,2025-07-23,STORE,PENDING,770.2
ORD-00000189,CUST-000391,STORE-0010,2026-01-03,STORE,COMPLETED,893.53
ORD-00000190,CUST-000850,STORE-0011,2026-02-10,STORE,COMPLETED,515.85
ORD-00000191,CUST-000763,,2025-02-20,ECOMMERCE,CANCELLED,674.48
ORD-00000192,CUST-000925,,2025-10-21,ECOMMERCE,COMPLETED,218.65
ORD-00000193,CUST-000225,,2025-07-14,ECOMMERCE,COMPLETED,614.82
ORD-00000194,CUST-000676,,2025-05-21,ECOMMERCE,COMPLETED,814.51
ORD-00000195,CUST-000317,STORE-0008,2025-02-04,STORE,COMPLETED,663.14
ORD-00000196,CUST-000303,STORE-0006,2026-03-02,STORE,COMPLETED,131.96
ORD-00000197,CUST-000995,STORE-0006,2026-06-28,STORE,COMPLETED,256.19
ORD-00000198,CUST-000936,STORE-0008,2025-10-30,STORE,COMPLETED,314.76
ORD-00000199,CUST-000987,STORE-0002,2025-05-25,STORE,COMPLETED,214.67
ORD-00000200,CUST-000691,,2026-02-11,ECOMMERCE,RETURNED,727.06
ORD-00000201,CUST-000810,STORE-0007,2025-01-15,STORE,COMPLETED,124.38
ORD-00000202,CUST-000767,STORE-0011,2025-09-26,STORE,COMPLETED,742.84
ORD-00000203,CUST-000111,,2025-08-28,ECOMMERCE,COMPLETED,563.3
ORD-00000204,CUST-000336,,2025-08-15,ECOMMERCE,COMPLETED,577.33
ORD-00000205,CUST-000718,STORE-0005,2026-02-23,STORE,COMPLETED,55.13
ORD-00000206,CUST-000505,STORE-0002,2025-04-10,STORE,COMPLETED,490.73
ORD-00000207,CUST-000380,STORE-0011,2026-07-08,STORE,COMPLETED,671.91
ORD-00000208,CUST-000425,STORE-0011,2025-04-12,STORE,COMPLETED,559.85
ORD-00000209,CUST-000287,,2025-02-03,ECOMMERCE,COMPLETED,207.28
ORD-00000210,CUST-000242,STORE-0006,2025-04-12,STORE,PENDING,340.09
ORD-00000211,CUST-000661,,2026-01-03,ECOMMERCE,COMPLETED,259.16
ORD-00000212,CUST-000972,,2026-04-11,ECOMMERCE,COMPLETED,202.71
ORD-00000213,CUST-000995,STORE-0001,2025-02-21,STORE,COMPLETED,230.56
ORD-00000214,CUST-000579,STORE-0004,2025-03-12,STORE,COMPLETED,505.47
ORD-00000215,CUST-000833,STORE-0004,2025-12-03,STORE,COMPLETED,712.95
ORD-00000216,CUST-000284,STORE-0003,2025-05-14,STORE,COMPLETED,721.68
ORD-00000217,CUST-000888,STORE-0001,2025-05-15,STORE,COMPLETED,714.14
ORD-00000218,CUST-000332,STORE-0001,2025-06-28,STORE,COMPLETED,127.18
ORD-00000219,CUST-000117,STORE-0012,2025-03-07,STORE,COMPLETED,703.55
ORD-00000220,CUST-000112,STORE-0008,2026-05-31,STORE,COMPLETED,559.37
ORD-00000221,CUST-000931,,2026-06-18,ECOMMERCE,COMPLETED,584.36
ORD-00000222,CUST-000491,STORE-0007,2026-03-13,STORE,COMPLETED,448.89
ORD-00000223,CUST-000076,,2025-03-24,ECOMMERCE,COMPLETED,146.28
ORD-00000224,CUST-000640,STORE-0011,2026-08-23,STORE,COMPLETED,302.79
ORD-00000225,CUST-000544,,2025-10-29,ECOMMERCE,COMPLETED,550.8
ORD-00000226,CUST-000719,STORE-0002,2026-07-19,STORE,COMPLETED,205.3
ORD-00000227,CUST-000234,STORE-0007,2025-12-14,STORE,COMPLETED,367.88
ORD-00000228,CUST-000321,,2026-03-14,ECOMMERCE,COMPLETED,240.58
ORD-00000229,CUST-000704,,2026-05-01,ECOMMERCE,COMPLETED,751.12
ORD-00000230,CUST-000099,STORE-0012,2026-01-17,STORE,COMPLETED,507.39
ORD-00000231,CUST-000576,STORE-0009,2025-12-04,STORE,COMPLETED,378.57
ORD-00000232,CUST-000964,,2026-03-10,ECOMMERCE,COMPLETED,653.14
ORD-00000233,CUST-000615,,2025-11-16,ECOMMERCE,COMPLETED,526.46
ORD-00000234,CUST-000673,STORE-0008,2025-08-18,STORE,COMPLETED,324.85
ORD-00000235,CUST-000118,STORE-0005,2026-08-11,STORE,COMPLETED,394.76
ORD-00000236,CUST-000786,STORE-0010,2026-07-25,STORE,COMPLETED,837.24
ORD-00000237,CUST-000274,,2025-01-30,ECOMMERCE,COMPLETED,636.89
ORD-00000238,CUST-000348,STORE-0006,2025-01-07,STORE,COMPLETED,141.78
ORD-00000239,CUST-000072,,2025-05-26,ECOMMERCE,COMPLETED,875.05
ORD-00000240,CUST-000544,STORE-0004,2026-01-21,STORE,COMPLETED,316.69
ORD-00000241,CUST-000739,STORE-0006,2026-08-05,STORE,COMPLETED,796.76
ORD-00000242,CUST-000773,STORE-0010,2025-02-20,STORE,COMPLETED,255.81
ORD-00000243,CUST-000498,,2026-03-29,ECOMMERCE,COMPLETED,205.78
ORD-00000244,CUST-000354,STORE-0007,2025-04-24,STORE,COMPLETED,615.46
ORD-00000245,CUST-000684,STORE-0005,2025-02-16,STORE,COMPLETED,886.23
ORD-00000246,CUST-000210,STORE-0005,2025-08-05,STORE,COMPLETED,691.28
ORD-00000247,CUST-000123,STORE-0001,2026-05-25,STORE,COMPLETED,170.49
ORD-00000248,CUST-000721,STORE-0004,2026-05-28,STORE,COMPLETED,606.22
ORD-00000249,CUST-000407,STORE-0012,2025-02-13,STORE,COMPLETED,421.88
ORD-00000250,CUST-000321,STORE-0010,2026-03-16,STORE,COMPLETED,642.91
ORD-00000251,CUST-000118,STORE-0007,2025-01-22,STORE,RETURNED,167.11
ORD-00000252,CUST-000472,,2026-01-06,ECOMMERCE,COMPLETED,762.37
ORD-00000253,CUST-000604,STORE-0007,2026-06-21,STORE,COMPLETED,785.41
ORD-00000254,CUST-000227,,2025-12-08,ECOMMERCE,COMPLETED,82.6
ORD-00000255,CUST-000544,STORE-0009,2025-07-18,STORE,CANCELLED,324.2
ORD-00000256,CUST-000839,,2025-06-01,ECOMMERCE,COMPLETED,144.6
ORD-00000257,CUST-000617,STORE-0003,2025-03-19,STORE,COMPLETED,698.97
ORD-00000258,CUST-000773,STORE-0010,2026-08-17,STORE,COMPLETED,832.88
ORD-00000259,CUST-000651,STORE-0010,2025-11-27,STORE,COMPLETED,570.09
ORD-00000260,CUST-000070,STORE-0008,2026-03-29,STORE,COMPLETED,719.75
ORD-00000261,CUST-000361,STORE-0009,2025-03-17,STORE,COMPLETED,414.94
ORD-00000262,CUST-000852,STORE-0005,2025-03-20,STORE,COMPLETED,879.97
ORD-00000263,CUST-000609,STORE-0009,2026-01-29,STORE,COMPLETED,505.57
ORD-00000264,CUST-000918,,2025-02-12,ECOMMERCE,COMPLETED,731.69
ORD-00000265,CUST-000330,,2026-05-03,ECOMMERCE,COMPLETED,862.58
ORD-00000266,CUST-000831,STORE-0006,2025-03-28,STORE,COMPLETED,167.71
ORD-00000267,CUST-000449,STORE-0008,2026-06-21,STORE,COMPLETED,155.49
ORD-00000268,CUST-000290,STORE-0007,2026-02-23,STORE,COMPLETED,615.82
ORD-00000269,CUST-000647,STORE-0011,2025-12-09,STORE,COMPLETED,98.64
ORD-00000270,CUST-000291,,2025-09-16,ECOMMERCE,COMPLETED,596.06
ORD-00000271,CUST-000895,,2025-06-03,ECOMMERCE,COMPLETED,530.72
ORD-00000272,CUST-000359,STORE-0005,2026-02-06,STORE,COMPLETED,642.32
ORD-00000273,CUST-000573,STORE-0007,2025-12-03,STORE,COMPLETED,608.05
ORD-00000274,CUST-000757,,2026-06-24,ECOMMERCE,COMPLETED,608.35
ORD-00000275,CUST-000019,STORE-0006,2025-11-13,STORE,COMPLETED,204.56
ORD-00000276,CUST-000498,,2025-07-16,ECOMMERCE,COMPLETED,136.75
ORD-00000277,CUST-000865,STORE-0002,2026-06-04,STORE,COMPLETED,754.08
ORD-00000278,CUST-000039,,2025-12-11,ECOMMERCE,COMPLETED,561.96
ORD-00000279,CUST-000158,STORE-0003,2025-07-05,STORE,COMPLETED,697.42
ORD-00000280,CUST-000170,,2026-03-25,ECOMMERCE,COMPLETED,337.4
ORD-00000281,CUST-000993,,2026-03-31,ECOMMERCE,COMPLETED,680.87
ORD-00000282,CUST-000240,,2026-07-01,ECOMMERCE,COMPLETED,869.55
ORD-00000283,CUST-000926,,2025-07-18,ECOMMERCE,COMPLETED,853.21
ORD-00000284,CUST-000473,,2025-10-16,ECOMMERCE,COMPLETED,460.07
ORD-00000285,CUST-000166,STORE-0004,2025-05-22,STORE,COMPLETED,61.18
ORD-00000286,CUST-000381,STORE-0009,2025-04-16,STORE,COMPLETED,471.58
ORD-00000287,CUST-000086,STORE-0003,2025-10-07,STORE,COMPLETED,469.32
ORD-00000288,CUST-000094,,2025-08-16,ECOMMERCE,COMPLETED,797.9
ORD-00000289,CUST-000425,,2025-02-24,ECOMMERCE,COMPLETED,345.96
ORD-00000290,CUST-000084,STORE-0006,2025-08-18,STORE,COMPLETED,838.78
ORD-00000291,CUST-000666,,2025-12-10,ECOMMERCE,COMPLETED,136.78
ORD-00000292,CUST-000850,STORE-0008,2025-05-23,STORE,COMPLETED,430.16
ORD-00000293,CUST-000928,STORE-0002,2025-01-20,STORE,COMPLETED,753.94
ORD-00000294,CUST-000745,STORE-0010,2026-06-25,STORE,COMPLETED,701.91
ORD-00000295,CUST-000125,STORE-0001,2025-09-02,STORE,COMPLETED,717.6
ORD-00000296,CUST-000114,STORE-0008,2026-07-03,STORE,COMPLETED,471.11
ORD-00000297,CUST-000148,STORE-0005,2026-03-16,STORE,COMPLETED,327.24
ORD-00000298,CUST-000192,STORE-0011,2025-03-29,STORE,COMPLETED,334.13
ORD-00000299,CUST-000558,,2026-06-04,ECOMMERCE,COMPLETED,464.25
ORD-00000300,CUST-000895,STORE-0008,2025-02-14,STORE,COMPLETED,883.22
ORD-00000301,CUST-000017,STORE-0006,2025-03-11,STORE,COMPLETED,663.65
ORD-00000302,CUST-000791,STORE-0010,2025-12-07,STORE,COMPLETED,326.78
ORD-00000303,CUST-000659,STORE-0003,2026-04-21,STORE,PENDING,438.5
ORD-00000304,CUST-000139,STORE-0002,2026-04-14,STORE,COMPLETED,193.41
ORD-00000305,CUST-000908,,2025-02-12,ECOMMERCE,COMPLETED,289.42
ORD-00000306,CUST-000835,STORE-0009,2026-04-30,STORE,COMPLETED,681.66
ORD-00000307,CUST-000366,STORE-0001,2025-12-06,STORE,COMPLETED,722.42
ORD-00000308,CUST-000410,STORE-0012,2026-03-27,STORE,CANCELLED,357.18
ORD-00000309,CUST-000509,,2026-05-25,ECOMMERCE,COMPLETED,720.6
ORD-00000310,CUST-000085,STORE-0012,2026-03-11,STORE,COMPLETED,548.17
ORD-00000311,CUST-000559,,2025-10-28,ECOMMERCE,COMPLETED,85.86
ORD-00000312,CUST-000314,,2026-04-02,ECOMMERCE,COMPLETED,392.11
ORD-00000313,CUST-000360,,2026-04-03,ECOMMERCE,COMPLETED,784.98
ORD-00000314,CUST-000446,STORE-0005,2025-02-28,STORE,COMPLETED,579.2
ORD-00000315,CUST-000821,STORE-0012,2025-06-13,STORE,RETURNED,141.36
ORD-00000316,CUST-000801,STORE-0008,2025-02-05,STORE,COMPLETED,223.86
ORD-00000317,CUST-000371,STORE-0007,2026-08-04,STORE,COMPLETED,150.79
ORD-00000318,CUST-000380,STORE-0006,2026-03-31,STORE,COMPLETED,522.92
ORD-00000319,CUST-000408,STORE-0006,2025-10-13,STORE,COMPLETED,115.4
ORD-00000320,CUST-000512,,2026-06-15,ECOMMERCE,COMPLETED,512.08
